Model_index Run_id Replica_id Frame_id GaussianEMRestraint_None_CCC ConnectivityRestraint_Score ExcludedVolumeSphere_Score GaussianEMRestraint_None Total_Score
0 1 0 4 0.65 3.91 8.02 464.29 476.23
1 1 0 5 0.65 1.34 10.14 456.72 468.20
2 1 0 6 0.65 0.15 11.54 457.55 469.23
3 1 0 7 0.65 1.02 5.50 460.21 466.72
4 1 0 8 0.65 2.91 8.65 465.32 476.88
5 1 0 9 0.65 1.51 8.07 462.35 471.93
6 1 2 0 0.65 1.07 8.22 464.33 473.62
7 1 2 1 0.66 11.09 6.18 453.52 470.79
8 1 2 2 0.65 0.27 7.99 454.97 463.23
9 1 2 3 0.66 0.30 6.08 454.40 460.78
10 1 2 4 0.65 1.87 5.73 456.79 464.39
11 1 2 6 0.66 0.72 8.12 442.41 451.25
12 1 2 7 0.65 0.48 5.34 455.36 461.18
13 1 2 8 0.65 1.70 4.57 455.94 462.21
14 1 2 10 0.65 0.54 6.78 461.09 468.41
15 1 2 11 0.65 0.58 6.37 463.35 470.30
16 1 2 12 0.65 3.89 3.24 463.88 471.00
17 1 2 13 0.66 1.25 5.57 452.27 459.10
18 1 2 15 0.65 0.47 4.69 463.47 468.63
19 1 2 16 0.66 0.30 5.44 454.26 459.99
20 1 2 17 0.65 0.00 2.63 460.58 463.21
21 1 2 18 0.65 1.32 3.64 460.10 465.06
22 1 2 19 0.66 6.86 4.35 440.63 451.84
23 1 2 20 0.66 1.87 4.40 451.49 457.75
24 1 2 21 0.66 1.34 4.24 453.86 459.44
25 1 2 22 0.66 1.31 3.40 446.39 451.10
26 1 2 23 0.65 0.00 12.53 464.62 477.14
27 1 2 24 0.66 3.08 6.07 446.15 455.31
28 1 2 25 0.65 1.91 7.45 459.70 469.06
29 1 2 26 0.65 3.68 9.77 456.29 469.74
30 1 2 27 0.65 0.96 3.92 461.39 466.27
31 1 2 29 0.65 2.87 4.60 464.32 471.79
32 1 2 30 0.65 0.06 4.31 465.95 470.31
33 1 2 31 0.65 0.45 7.98 459.63 468.05
34 1 2 32 0.66 3.52 8.31 454.07 465.89
35 1 2 33 0.65 1.10 5.72 461.76 468.58
36 1 2 34 0.66 1.85 4.19 442.74 448.78
37 1 2 35 0.66 0.61 3.35 449.42 453.38
38 1 2 36 0.66 1.22 6.31 450.03 457.56
39 1 2 37 0.65 0.96 6.47 458.55 465.98
40 1 2 38 0.65 0.98 4.11 461.48 466.56
41 1 2 39 0.65 3.04 1.98 461.42 466.44
42 1 2 40 0.66 3.17 8.55 446.15 457.87
43 1 2 41 0.65 0.07 5.67 466.24 471.98
44 1 2 42 0.66 6.17 9.34 452.51 468.03
45 1 2 43 0.66 1.14 6.81 445.94 453.89
46 1 2 44 0.65 0.78 8.06 455.73 464.57
47 1 2 45 0.66 3.14 6.01 451.75 460.91
48 1 2 46 0.65 0.08 6.46 455.89 462.43
49 1 3 0 0.65 0.99 8.10 459.76 468.85
50 1 3 1 0.66 0.13 5.16 449.66 454.96
51 1 3 2 0.66 6.13 3.27 451.35 460.75
52 1 3 3 0.66 2.17 4.81 446.17 453.14
53 1 3 4 0.66 0.54 13.88 449.09 463.51
54 1 3 5 0.66 1.38 7.05 446.45 454.87
55 1 3 6 0.66 3.57 7.24 444.92 455.73
56 1 3 7 0.66 3.95 5.56 446.71 456.22
57 1 3 8 0.66 1.51 7.74 453.22 462.48
58 1 3 9 0.66 3.90 6.05 448.56 458.51
59 1 3 10 0.66 0.32 9.80 447.91 458.03
60 1 3 11 0.66 0.82 3.13 444.60 448.55
61 1 3 12 0.65 3.21 7.60 456.26 467.07
62 1 3 13 0.65 4.83 6.42 457.91 469.16
63 1 3 14 0.65 0.14 8.19 458.64 466.97
