# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.09900001 2743904.00000000 53506.13281250
0.10000000 2692104.00000000 57099.52734375
0.10100000 2640488.00000000 68679.09375000
0.10200001 2590000.00000000 72027.90625000
0.10300001 2539720.00000000 43581.59765625
0.10400000 2490368.00000000 47067.95703125
0.10500000 2441200.00000000 69867.14843750
0.10600001 2392896.00000000 38405.98437500
0.10700001 2345144.00000000 41790.46875000
0.10800000 2297800.00000000 37569.03125000
0.10900000 2251088.00000000 52000.13671875
0.11000001 2205192.00000000 40388.09375000
0.11100001 2159712.00000000 61681.37890625
0.11200000 2115104.00000000 35851.01562500
0.11300001 2071104.00000000 38957.46875000
0.11400001 2027312.00000000 45462.47265625
0.11500000 1984392.00000000 44886.94921875
0.11600000 1942268.00000000 40904.16406250
0.11700001 1900788.00000000 50465.92578125
0.11800001 1860032.00000000 36521.73046875
0.11900000 1819848.00000000 36032.99218750
0.12000000 1780252.00000000 51698.51953125
0.12100001 1741240.00000000 35051.16406250
0.12200001 1703232.00000000 40852.02343750
0.12300000 1665232.00000000 37167.98046875
0.12400001 1628484.00000000 39694.30078125
0.12500000 1592148.00000000 36109.91796875
0.12600000 1556412.00000000 29649.64843750
0.12700000 1521352.00000000 29209.95898438
0.12800001 1487156.00000000 34531.76562500
0.12900001 1453272.00000000 28338.80664062
0.13000001 1420372.00000000 41865.46875000
0.13100001 1387860.00000000 32975.55468750
0.13200000 1355992.00000000 27052.04101562
0.13300000 1325164.00000000 37290.11718750
0.13400000 1294388.00000000 34074.76562500
0.13500001 1264504.00000000 36114.23437500
0.13600001 1235332.00000000 25386.07421875
0.13700001 1206504.00000000 27472.09765625
0.13800001 1178472.00000000 34399.60156250
0.13900001 1151172.00000000 29009.53710938
0.14000000 1124244.00000000 30911.08984375
0.14100000 1097884.00000000 28061.91601562
0.14200000 1072176.00000000 29897.62890625
0.14300001 1047060.00000000 24878.14648438
0.14400001 1022544.00000000 26688.40039062
0.14500001 998508.00000000 34987.72265625
0.14600001 975118.00000000 27951.75976562
0.14700000 952328.00000000 27484.18554688
0.14800000 930100.00000000 29102.83007812
0.14900000 908302.00000000 28611.51367188
0.15000001 887026.00000000 22100.25390625
0.15100001 866194.00000000 29623.83593750
0.15200001 846022.00000000 23299.44726562
0.15300001 826250.00000000 26720.92773438
0.15400001 807012.00000000 18763.03125000
0.15500000 788206.00000000 20288.42187500
0.15600000 769928.00000000 25384.52734375
0.15700001 752278.00000000 21394.78710938
0.15800001 734748.00000000 26285.61132812
0.15900001 717756.00000000 27561.83203125
0.16000001 701302.00000000 18630.08984375
0.16100001 685258.00000000 19982.12500000
0.16200000 669702.00000000 18011.63476562
0.16300000 654390.00000000 22537.19140625
0.16400000 639618.00000000 18996.65429688
0.16500001 625212.00000000 23351.66992188
0.16600001 611210.00000000 16841.89257812
0.16700001 597544.00000000 19575.54296875
0.16800001 584282.00000000 20736.16992188
0.16900001 571300.00000000 16024.96679688
0.17000000 558684.00000000 15763.26953125
0.17100000 546544.00000000 14100.83593750
0.17200001 534576.00000000 16646.69726562
0.17300001 522982.00000000 15014.81347656
0.17400001 511782.00000000 17464.56250000
0.17500001 500774.00000000 19830.65234375
0.17600001 490158.00000000 15616.43554688
0.17700000 479707.00000000 14088.99511719
0.17800000 469623.00000000 13870.31542969
0.17900001 459853.00000000 17382.44335938
0.18000001 450221.00000000 13445.85058594
0.18100001 440995.00000000 14446.99707031
0.18200001 431864.00000000 14225.60058594
0.18300001 423122.00000000 15181.61816406
0.18400002 414565.00000000 14955.43359375
0.18500000 406278.00000000 13602.18750000
0.18600000 398085.00000000 12282.91308594
0.18700001 390166.00000000 17604.29101562
0.18800001 382526.00000000 10844.61230469
0.18900001 374989.00000000 14962.06152344
0.19000001 367674.00000000 20014.33593750
0.19100001 360609.00000000 12462.64843750
0.19200000 353656.00000000 17405.17968750
0.19300000 346861.00000000 15140.48339844
0.19400001 340304.00000000 10949.28125000
0.19500001 333867.00000000 9815.69042969
0.19600001 327529.00000000 11614.17871094
0.19700001 321475.00000000 10502.58886719
0.19800001 315442.00000000 10357.53906250
0.19900002 309603.00000000 11145.70898438
0.20000000 303861.00000000 15574.39550781
0.20100001 298328.00000000 14462.94140625
0.20200001 292851.00000000 10700.77636719
0.20300001 287493.00000000 11436.47167969
0.20400001 282341.00000000 13891.17773438
0.20500001 277197.00000000 11135.00390625
0.20600002 272242.00000000 9298.42578125
0.20700002 267336.00000000 11677.23730469
0.20800000 262546.00000000 9053.89941406
0.20900001 257877.00000000 11372.37597656
0.21000001 253276.00000000 14429.13476562
0.21100001 248736.00000000 15028.62988281
0.21200001 244299.00000000 10146.95996094
0.21300001 239954.00000000 9243.02832031
0.21400002 235683.00000000 8360.85546875
0.21500000 231514.50000000 7501.06982422
0.21600001 227407.00000000 9622.72753906
0.21700001 223358.00000000 8034.18750000
0.21800001 219355.50000000 7205.82861328
0.21900001 215472.50000000 7821.65234375
0.22000001 211651.50000000 7016.24755859
0.22100002 207846.00000000 7613.39941406
0.22200002 204138.50000000 8194.12011719
0.22300000 200504.50000000 7410.64648438
0.22400001 196868.00000000 8637.58398438
0.22500001 193351.50000000 6554.61621094
0.22600001 189841.50000000 8403.33398438
0.22700001 186442.50000000 8289.23437500
0.22800002 183061.50000000 11318.69335938
0.22900002 179697.50000000 8059.43359375
0.23000000 176404.00000000 6723.63867188
0.23100001 173165.00000000 8436.59863281
0.23200001 169994.00000000 8317.80664062
0.23300001 166807.50000000 7025.93212891
0.23400001 163707.50000000 6347.75878906
0.23500001 160642.00000000 6255.39990234
0.23600002 157601.00000000 8964.34570312
0.23700002 154622.50000000 6624.02832031
0.23800001 151689.50000000 6525.68261719
0.23900001 148791.00000000 5892.12402344
0.24000001 145930.50000000 6330.46533203
0.24100001 143115.50000000 8831.65820312
0.24200001 140345.50000000 5627.15332031
0.24300002 137632.00000000 5541.06445312
0.24400002 134934.00000000 5454.70751953
0.24500000 132242.00000000 5855.67578125
0.24600001 129632.50000000 5763.46093750
0.24700001 127065.00000000 4726.81835938
0.24800001 124494.50000000 6509.81787109
0.24900001 121982.00000000 6404.05517578
0.25000000 119514.00000000 4949.67236328
0.25100002 117089.50000000 5311.18017578
0.25200000 114697.00000000 5223.30126953
0.25300002 112336.00000000 4708.00195312
0.25400001 109991.50000000 4627.89257812
0.25500003 107716.75000000 5377.22070312
0.25600001 105468.75000000 5285.56689453
0.25700000 103239.50000000 5193.97900391
0.25800002 101053.75000000 5888.90771484
0.25900000 98929.25000000  5787.36132812
0.26000002 96822.25000000  4548.70947266
0.26100001 94753.00000000  4468.55175781
0.26200002 92741.25000000  4756.23535156
0.26300001 90743.25000000  3593.43286133
0.26400000 88778.25000000  3881.82885742
0.26500002 86856.50000000  3812.13208008
0.26600000 84985.50000000  5105.50390625
0.26700002 83120.75000000  3675.59985352
0.26800001 81308.50000000  3608.87792969
0.26900002 79529.50000000  4187.22851562
0.27000001 77807.50000000  3795.44995117
0.27100003 76090.00000000  3104.47241211
0.27200001 74441.50000000  3353.21752930
0.27300000 72783.50000000  3290.54199219
0.27400002 71197.25000000  3524.26416016
0.27500001 69653.50000000  2883.65502930
0.27600002 68125.25000000  4528.96679688
0.27700001 66629.75000000  4167.69091797
0.27800003 65171.25000000  3818.38378906
