# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 21147072.00000000 3172.06079102
0.00100000 21140800.00000000 8879.13574219
0.00200000 21127808.00000000 11409.01660156
0.00300000 21107776.00000000 16464.06445312
0.00400000 21078272.00000000 18970.44531250
0.00500000 21040960.00000000 24617.92382812
0.00600000 20992192.00000000 28654.34179688
0.00700000 20938368.00000000 32663.85546875
0.00800000 20876288.00000000 31001.28906250
0.00900000 20808640.00000000 37455.55468750
0.01000000 20724672.00000000 41034.85156250
0.01100000 20638592.00000000 48294.30859375
0.01200000 20542976.00000000 44064.68359375
0.01300000 20440896.00000000 47218.46875000
0.01400000 20324672.00000000 45730.51171875
0.01500000 20208832.00000000 53351.32031250
0.01600000 20081856.00000000 61450.48046875
0.01700000 19948544.00000000 53861.07031250
0.01800000 19810176.00000000 67750.80468750
0.01900000 19660416.00000000 58981.25000000
0.02000000 19506560.00000000 61445.66796875
0.02100000 19345856.00000000 82993.72656250
0.02200000 19176768.00000000 92623.79687500
0.02300000 19008768.00000000 82117.88281250
0.02400000 18825792.00000000 70596.71875000
0.02500000 18641216.00000000 109051.11718750
0.02600000 18451712.00000000 97148.26562500
0.02700000 18254656.00000000 107337.38281250
0.02800000 18054336.00000000 109950.90625000
0.02900000 17844032.00000000 120447.21875000
0.03000000 17633280.00000000 90194.23437500
0.03100000 17421376.00000000 91984.86718750
0.03200000 17199040.00000000 127702.87500000
0.03300000 16976832.00000000 86581.84375000
0.03400000 16750912.00000000 114324.97656250
0.03500000 16517440.00000000 133791.26562500
0.03600000 16282624.00000000 90368.57031250
0.03700000 16051008.00000000 100639.82031250
0.03800000 15809728.00000000 101735.60937500
0.03900000 15569920.00000000 130787.32812500
0.04000000 15322720.00000000 94234.73437500
0.04100000 15076544.00000000 104480.45312500
0.04200000 14825824.00000000 95626.57031250
0.04300000 14579008.00000000 105843.60156250
0.04400000 14325120.00000000 135372.39062500
0.04500000 14075360.00000000 126255.98437500
0.04600000 13821312.00000000 107184.28125000
0.04700000 13568640.00000000 97694.21093750
0.04800000 13314688.00000000 117435.54687500
0.04900000 13060288.00000000 107747.38281250
0.05000000 12806592.00000000 137158.60937500
0.05100000 12552416.00000000 127281.50781250
0.05200000 12299840.00000000 117340.47656250
0.05300000 12048224.00000000 107349.67968750
0.05400000 11796064.00000000 126512.78906250
0.05500000 11545600.00000000 106681.35156250
0.05600000 11297184.00000000 125568.20312500
0.05700000 11050592.00000000 124982.20312500
0.05800000 10804384.00000000 133866.32812500
0.05900000 10559712.00000000 114044.89843750
0.06000000 10322048.00000000 122780.76562500
0.06100000 10080160.00000000 131243.68750000
0.06200000 9843232.00000000 130225.96875000
0.06300000 9609408.00000000 129150.44531250
0.06400000 9377312.00000000 118857.43750000
0.06500001 9148960.00000000 117747.12500000
0.06600000 8924672.00000000 107631.54687500
0.06700000 8699296.00000000 115352.66406250
0.06800000 8481088.00000000 105335.11718750
0.06900001 8266304.00000000 112835.06250000
0.07000000 8053856.00000000 111505.64062500
0.07100000 7844416.00000000 118607.57031250
0.07200000 7639984.00000000 142218.31250000
0.07300001 7438128.00000000 107332.19531250
0.07400000 7238080.00000000 97714.07812500
0.07500000 7045312.00000000 96379.87500000
0.07600001 6855760.00000000 95020.83593750
0.07700001 6669184.00000000 101438.29687500
0.07800000 6488048.00000000 99948.38281250
0.07900000 6308352.00000000 83270.25000000
0.08000001 6133568.00000000 104332.00000000
0.08100000 5964608.00000000 117383.48437500
0.08200000 5798256.00000000 72188.28906250
0.08300000 5635872.00000000 78113.18750000
0.08400001 5477968.00000000 83812.91406250
0.08500000 5324352.00000000 96157.79687500
0.08600000 5175008.00000000 81040.62500000
0.08700000 5029120.00000000 73022.82812500
0.08800001 4888368.00000000 65259.71875000
0.08900000 4751312.00000000 64142.71484375
0.09000000 4616976.00000000 63021.72656250
0.09100001 4486784.00000000 68109.38281250
0.09200001 4361696.00000000 60845.66406250
0.09300000 4238992.00000000 65746.76562500
0.09400000 4121744.00000000 76355.31250000
0.09500001 4007984.00000000 69257.96875000
0.09600000 3897120.00000000 68043.71875000
0.09700000 3791120.00000000 66875.35937500
0.09800000 3687464.00000000 76662.38281250
0.09900001 3587832.00000000 69962.72656250
0.10000000 3491432.00000000 74053.27343750
0.10100000 3398264.00000000 57192.78515625
0.10200001 3308928.00000000 56235.23437500
0.10300001 3222280.00000000 70374.60156250
0.10400000 3139400.00000000 69223.77343750
0.10500000 3059000.00000000 58365.72265625
0.10600001 2981744.00000000 52642.69531250
0.10700001 2907016.00000000 65931.12500000
0.10800000 2835360.00000000 60265.57812500
