# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
# offset = 0.00000000000000, scaling c = 1.27375411789470, Chi^2 = 2.08966656944997
#  q       exp_intensity   model_intensity error
0.00000000 21147112.00000000 21141987.38701623 4440.89355469
0.00100000 21142752.00000000 21135081.09218900 6977.10839844
0.00200000 21129754.00000000 21121873.53574055 11410.06738281
0.00300000 21108088.00000000 21102341.79009675 12664.85253906
0.00400000 21077560.00000000 21073011.05402399 18969.80468750
0.00500000 21038452.00000000 21036110.39722858 28401.91210938
0.00600000 20990886.00000000 20986644.15606014 24244.47265625
0.00700000 20934730.00000000 20933249.65719211 27633.84375000
0.00800000 20870056.00000000 20871640.71801778 36626.94921875
0.00900000 20797134.00000000 20805278.12847547 46793.55468750
0.01000000 20715770.00000000 20720160.78330128 47853.43359375
0.01100000 20626422.00000000 20634727.54710584 48265.83203125
0.01200000 20528884.00000000 20539030.40022841 48037.58984375
0.01300000 20423360.00000000 20437531.30334397 47177.96093750
0.01400000 20310146.00000000 20320008.37965642 50267.61328125
0.01500000 20189162.00000000 20205133.59077997 67835.58593750
0.01600000 20060484.00000000 20077993.82350231 56269.66015625
0.01700000 19924658.00000000 19944913.26701879 59176.23828125
0.01800000 19781520.00000000 19807354.19105675 56377.33593750
0.01900000 19631278.00000000 19658733.83433492 64783.22265625
0.02000000 19474166.00000000 19505045.20997798 73612.35156250
0.02100000 19310534.00000000 19344494.87218794 82842.19531250
0.02200000 19140232.00000000 19175004.05424440 72637.18750000
0.02300000 18963720.00000000 19008980.39500977 95577.15625000
0.02400000 18781060.00000000 18825003.17148341 84514.77343750
0.02500000 18592590.00000000 18640783.93467466 145022.20312500
0.02600000 18398412.00000000 18451858.17640028 119221.71093750
0.02700000 18198800.00000000 18254594.42367017 114652.44531250
0.02800000 17994112.00000000 18054900.34808310 78274.39062500
0.02900000 17784286.00000000 17843571.80238320 120043.93750000
0.03000000 17569782.00000000 17633072.47061403 89869.43750000
0.03100000 17350814.00000000 17422348.95812013 91612.30468750
0.03200000 17127576.00000000 17201018.89508651 84781.50781250
0.03300000 16900368.00000000 16979232.82807868 103430.25000000
0.03400000 16669381.00000000 16754040.74255961 113768.53125000
0.03500000 16434966.00000000 16519877.60678820 133123.21875000
0.03600000 16197206.00000000 16285043.20259666 89894.50000000
0.03700000 15956524.00000000 16055443.92782967 163713.93750000
0.03800000 15713013.00000000 15813849.71053447 110305.35937500
0.03900000 15467117.00000000 15575043.74100333 139204.06250000
0.04000000 15218888.00000000 15327229.78235045 102955.78125000
0.04100000 14968735.00000000 15081469.11533561 132024.25000000
0.04200000 14716899.00000000 14831605.68630703 132893.60937500
0.04300000 14463494.00000000 14585941.82460515 105004.96875000
0.04400000 14208893.00000000 14331411.36048861 153456.06250000
0.04500000 13953341.00000000 14082686.66764143 105905.85937500
0.04600000 13697014.00000000 13828497.56962848 96563.95312500
0.04700000 13440236.00000000 13576346.47820417 125800.61718750
0.04800000 13183172.00000000 13322641.40675602 116275.57812500
0.04900000 12926116.00000000 13069486.59708680 145418.81250000
0.05000000 12669222.00000000 12816000.61134693 106611.50781250
0.05100000 12412800.00000000 12561848.45220340 116183.81250000
0.05200000 12157075.00000000 12309671.88569673 115978.50000000
0.05300000 11902193.00000000 12058455.72979495 144611.65625000
0.05400000 11648384.00000000 11806258.78322239 115319.00781250
0.05500000 11395884.00000000 11555949.54025255 105297.97656250
0.05600000 11144856.00000000 11308782.64869155 152461.64062500
0.05700000 10895565.00000000 11062507.38501308 132707.98437500
0.05800000 10648145.00000000 10816293.26153227 141354.12500000
0.05900000 10402784.00000000 10571463.07190056 131075.09375000
0.06000000 10159623.00000000 10335142.19665344 102256.60937500
0.06100000 9918943.00000000 10092651.25645923 101470.79687500
0.06200000 9680776.00000000 9856636.08220041 100631.67187500
0.06300000 9445384.00000000 9623141.03046384 99743.25781250
0.06400000 9212781.00000000 9391007.62187929 98807.07812500
0.06500001 8983252.00000000 9162919.65637318 106721.03906250
0.06600000 8756863.00000000 8939204.48875381 88006.47656250
0.06700000 8533668.00000000 8713815.60822352 87043.41406250
0.06800000 8313937.50000000 8496108.10190119 86049.25781250
0.06900001 8097687.00000000 8281758.21143364 110533.43750000
0.07000000 7885077.00000000 8069499.18835061 100771.28125000
0.07100000 7676098.50000000 7860049.42997459 82901.86718750
0.07200000 7470915.50000000 7656664.65183093 98167.83593750
0.07300001 7269599.50000000 7454804.55736639 88761.82031250
0.07400000 7072227.00000000 7254210.57449504 87518.81250000
0.07500000 6878836.50000000 7061950.76481707 109786.23437500
0.07600001 6689475.00000000 6872639.69592203 92716.13281250
0.07700001 6504235.50000000 6686604.72261822 98929.42968750
0.07800000 6323153.50000000 6505881.30398603 97408.17968750
0.07900000 6146209.50000000 6325795.39928984 118007.22656250
0.08000001 5973484.50000000 6150861.83000053 108866.76562500
0.08100000 5804990.50000000 5982818.63361198 107102.07812500
0.08200000 5640733.50000000 5816376.54614962 84272.56250000
0.08300000 5480689.50000000 5653881.18582156 69056.68750000
0.08400001 5324889.00000000 5495930.58018614 81470.80468750
0.08500000 5173321.00000000 5342818.32956755 86756.59375000
0.08600000 5025969.00000000 5193569.69362707 72147.78906250
0.08700000 4882820.00000000 5047557.03002309 83789.19531250
0.08800001 4743826.50000000 4907023.73819577 88662.12500000
0.08900000 4608988.50000000 4770471.88330246 68443.47656250
0.09000000 4478242.50000000 4635832.88865569 79466.41406250
0.09100001 4351560.00000000 4505396.64572092 90077.29687500
0.09200001 4228885.00000000 4380403.15413192 64892.24609375
0.09300000 4110199.00000000 4257733.62693101 86930.71093750
0.09400000 3995400.25000000 4140628.81303265 68321.34375000
0.09500001 3884439.25000000 4026912.50352643 61529.52343750
0.09600000 3777243.00000000 3916192.06370549 60454.77343750
0.09700000 3673785.50000000 3810317.62142608 64805.57812500
0.09800000 3573936.50000000 3706482.45948942 68994.84375000
0.09900001 3477707.00000000 3606783.81405063 73031.85156250
0.10000000 3384921.25000000 3510533.85788603 66666.02343750
0.10100000 3295534.25000000 3417198.25114318 80674.67968750
0.10200001 3209479.75000000 3327841.85226463 54545.10937500
0.10300001 3126649.25000000 3241311.27689663 58530.87890625
0.10400000 3046972.00000000 3158439.24179376 86381.65625000
0.10500000 2970382.50000000 3077851.68470133 56674.89843750
0.10600001 2896707.00000000 3000508.69778570 55790.57812500
0.10700001 2825925.25000000 2925823.08039853 50357.99218750
0.10800000 2757939.75000000 2854040.03020752 63129.24218750
0.10900000 2692602.25000000 2784150.41551275 53313.52734375
0.11000001 2629873.50000000 2718538.06714588 43787.39453125
0.11100001 2569630.50000000 2653931.66609361 51803.75390625
0.11200000 2511797.00000000 2592572.86038418 59604.94531250
0.11300001 2456253.50000000 2533192.67247764 42001.93750000
0.11400001 2402940.00000000 2476520.16738721 58031.00390625
