# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
# offset = 0.00000000000000, scaling c = 1.32548031888311, Chi^2 = 107.342362064132
#  q       exp_intensity   model_intensity error
0.00000000 1739091.50000000 1743392.49978913 339.12283325
0.00100000 1738945.62500000 1742429.53833746 991.19903564
0.00200000 1738531.37500000 1742892.62802387 860.57305908
0.00300000 1737837.12500000 1743342.13153701 1146.97253418
0.00400000 1736864.12500000 1740949.97093151 1823.70739746
0.00500000 1735611.62500000 1740342.56957538 2030.66577148
0.00600000 1734089.25000000 1737974.59898569 2549.11132812
0.00700000 1732285.25000000 1736530.65386331 2286.61669922
0.00800000 1730210.00000000 1733218.27854642 2569.36206055
0.00900000 1727861.87500000 1730545.77885347 3110.15161133
0.01000000 1725238.87500000 1726619.20909382 3700.63769531
0.01100000 1722344.25000000 1724651.36787540 4030.28588867
0.01200000 1719181.62500000 1719671.37263232 3687.64453125
0.01300000 1715747.25000000 1713094.33929002 5044.29687500
0.01400000 1712048.12500000 1711174.87810324 4622.53027344
0.01500000 1708084.75000000 1705404.23384994 4509.34375000
0.01600000 1703858.00000000 1700209.01374008 6951.74072266
0.01700000 1699372.62500000 1692589.65581202 4588.30615234
0.01800000 1694627.37500000 1686979.72604738 5312.65722656
0.01900000 1689622.87500000 1679430.45289118 6589.52978516
0.02000000 1684370.87500000 1675886.78125865 9019.80664062
0.02100000 1678863.00000000 1667677.58458869 6648.29785156
0.02200000 1673105.87500000 1660012.16621955 5772.21582031
0.02300000 1667105.50000000 1652498.34966188 8402.21191406
0.02400000 1660863.62500000 1644490.62600039 8096.71044922
0.02500000 1654381.37500000 1636272.64802331 8387.71386719
0.02600000 1647662.62500000 1627599.53324174 6673.03369141
0.02700000 1640707.87500000 1617938.43856748 10336.45996094
0.02800000 1633524.62500000 1609143.54528161 7816.41552734
0.02900000 1626116.00000000 1600721.27765039 8049.27441406
0.03000000 1618486.37500000 1592312.09913731 7525.96191406
0.03100000 1610631.12500000 1581102.01502540 11596.54492188
0.03200000 1602563.37500000 1570612.16378176 10312.49609375
0.03300000 1594286.62500000 1559777.52197017 8130.86181641
0.03400000 1585798.37500000 1548071.04547883 10823.07421875
0.03500000 1577106.12500000 1537159.19443867 8516.37304688
0.03600000 1568216.12500000 1527044.45412527 10444.32031250
0.03700000 1559134.00000000 1514433.66868638 11553.18261719
0.03800000 1549853.75000000 1504306.00493987 16319.96093750
0.03900000 1540390.50000000 1490742.53052178 9242.34277344
0.04000000 1530742.25000000 1479559.61875640 12238.28515625
0.04100000 1520917.00000000 1467302.07382249 13414.48828125
0.04200000 1510919.50000000 1454173.52263403 9745.43164062
0.04300000 1500751.50000000 1442121.26146451 12876.44824219
0.04400000 1490418.62500000 1427236.11748345 11066.35937500
0.04500000 1479926.00000000 1416860.58891731 13274.93652344
0.04600000 1469276.50000000 1403403.64997985 11394.24023438
0.04700000 1458479.37500000 1389011.99889002 15751.57812500
0.04800000 1447536.00000000 1375543.95905489 12767.26757812
0.04900000 1436453.00000000 1360948.34968099 14005.41699219
0.05000000 1425232.12500000 1348152.07983997 11993.32812500
0.05100000 1413884.00000000 1333784.70160848 11028.29589844
0.05200000 1402405.37500000 1319357.51107759 16723.68359375
0.05300000 1390810.50000000 1305101.30750784 14645.23535156
0.05400000 1379095.50000000 1290356.49875555 12515.29199219
0.05500000 1367273.25000000 1276443.92595847 16079.13476562
0.05600000 1355340.50000000 1262784.51990230 15064.61035156
0.05700000 1343308.75000000 1246925.06504435 14024.14453125
0.05800000 1331185.75000000 1231365.16873846 14137.19335938
0.05900000 1318965.25000000 1216512.91323781 16618.96289062
0.06000000 1306662.37500000 1202022.34817918 14347.15332031
0.06100000 1294280.62500000 1186658.62296049 12036.81054688
0.06200000 1281822.75000000 1172490.31530439 19381.16015625
0.06300000 1269292.75000000 1156468.65479241 15840.77343750
0.06400000 1256697.12500000 1141624.35217368 19604.47656250
0.06500001 1244041.37500000 1126461.43722329 18474.01562500
0.06600000 1231332.50000000 1111678.93512443 17324.84765625
0.06700000 1218571.25000000 1095228.48172929 16158.25488281
0.06800000 1205764.62500000 1080100.02926720 16223.56347656
0.06900001 1192919.12500000 1064853.02915908 20041.04296875
0.07000000 1180034.50000000 1049527.49434208 17594.31445312
0.07100000 1167117.62500000 1033723.87534256 13865.35742188
0.07200000 1154179.62500000 1018453.92785642 12638.26757812
