# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.13000001 1173868.87500000 29986.48242188
0.13100001 1142576.25000000 31672.21679688
0.13200000 1111991.37500000 37713.18750000
0.13300000 1082113.37500000 23925.52734375
0.13400000 1052921.62500000 23453.83007812
0.13500001 1024420.12500000 22987.98828125
0.13600001 996614.37500000 28672.59765625
0.13700001 969486.68750000 30102.56445312
0.13800001 943022.81250000 21628.23046875
0.13900001 917229.68750000 34671.28515625
0.14000000 892091.62500000 22641.28515625
0.14100000 867604.56250000 22175.97265625
0.14200000 843760.37500000 28957.85742188
0.14300001 820547.18750000 17723.82031250
0.14400001 797957.31250000 24297.80078125
0.14500001 775987.31250000 27190.59765625
0.14600001 754628.25000000 21631.41992188
0.14700000 733868.62500000 19550.25976562
0.14800000 713696.00000000 20736.43750000
0.14900000 694102.31250000 17179.03320312
0.15000001 675080.18750000 16819.62304688
0.15100001 656620.87500000 19462.24414062
0.15200001 638715.31250000 16124.36914062
0.15300001 621349.50000000 15788.49218750
0.15400001 604509.62500000 21082.27539062
0.15500000 588195.18750000 15140.14453125
0.15600000 572392.56250000 17523.79882812
0.15700001 557085.93750000 17163.81835938
0.15800001 542270.68750000 21986.36523438
0.15900001 527930.87500000 15204.41015625
0.16000001 514061.40625000 18621.87500000
0.16100001 500658.31250000 14599.19726562
0.16200000 487694.87500000 13116.55371094
0.16300000 475170.68750000 14027.03906250
0.16400000 463074.37500000 11461.09082031
0.16500001 451390.09375000 12363.57519531
0.16600001 440115.75000000 13229.87988281
0.16700001 429227.59375000 11898.18945312
0.16800001 418730.12500000 12737.77148438
0.16900001 408605.25000000 13545.26562500
0.17000000 398841.78125000 10230.29199219
0.17100000 389430.93750000 13061.51367188
0.17200001 380361.09375000 10857.40820312
0.17300001 371625.59375000 13579.20019531
0.17400001 363213.28125000 15254.95898438
0.17500001 355111.40625000 10312.43554688
0.17600001 347309.34375000 13831.59570312
0.17700000 339803.68750000 14516.41406250
0.17800000 332577.50000000 10715.64746094
0.17900001 325624.31250000 8791.85644531
0.18000001 318936.62500000 10390.95605469
0.18100001 312506.25000000 12797.13183594
0.18200001 306315.34375000 12612.53515625
0.18300001 300360.90625000 10776.95019531
0.18400002 294632.28125000 8993.65136719
0.18500000 289125.21875000 8873.25292969
0.18600000 283825.59375000 11145.83105469
0.18700001 278727.37500000 9432.13476562
0.18800001 273823.18750000 8539.17675781
0.18900001 269105.78125000 11504.27246094
0.19000001 264559.06250000 7579.61767578
0.19100001 260189.34375000 8992.14453125
0.19200000 255976.59375000 12597.88769531
0.19300000 251922.01562500 10996.39648438
0.19400001 248011.40625000 8705.20019531
0.19500001 244242.73437500 7898.81054688
0.19600001 240606.32812500 7109.91748047
0.19700001 237094.96875000 10562.58105469
0.19800001 233705.54687500 9068.94433594
0.19900002 230430.31250000 7604.20068359
0.20000000 227263.42187500 8222.39062500
0.20100001 224198.98437500 7472.55224609
0.20200001 221228.39062500 6736.40478516
0.20300001 218351.28125000 9354.16894531
0.20400001 215557.42187500 11268.26464844
0.20500001 212846.25000000 9207.72949219
0.20600002 210208.76562500 7179.68115234
0.20700002 207641.45312500 7774.09667969
0.20800000 205139.23437500 6431.11523438
0.20900001 202703.46875000 6385.15966797
0.21000001 200318.14062500 8242.08984375
0.21100001 197989.95312500 7555.29687500
0.21200001 195710.82812500 10004.73828125
0.21300001 193475.87500000 6831.63378906
0.21400002 191284.81250000 7402.72265625
0.21500000 189134.42187500 7966.34179688
0.21600001 187015.65625000 6696.09570312
0.21700001 184931.43750000 7256.70996094
0.21800001 182876.87500000 7809.75732422
0.21900001 180846.54687500 6564.72998047
0.22000001 178842.45312500 7707.21582031
0.22100002 176862.93750000 7656.39697266
0.22200002 174900.64062500 6435.46972656
0.22300000 172954.37500000 5811.26708984
0.22400001 171024.73437500 6349.29345703
0.22500001 169110.71875000 7452.70947266
0.22600001 167208.00000000 8540.14941406
0.22700001 165317.96875000 6219.26220703
0.22800002 163433.31250000 9543.68847656
0.22900002 161557.59375000 6688.48486328
0.23000000 159690.39062500 8299.90820312
0.23100001 157827.59375000 6041.64062500
0.23200001 155968.32812500 7086.42138672
0.23300001 154112.90625000 5950.29980469
0.23400001 152262.57812500 5367.25634766
0.23500001 150408.04687500 6921.77880859
0.23600002 148561.90625000 5809.51367188
0.23700002 146713.53125000 6808.97558594
0.23800001 144870.82812500 7271.06689453
0.23900001 143023.57812500 8238.15820312
0.24000001 141178.89062500 6634.70214844
0.24100001 139336.70312500 9104.26074219
0.24200001 137494.32812500 5512.83544922
0.24300002 135650.84375000 5461.30322266
0.24400002 133808.51562500 4917.46337891
0.24500000 131965.85937500 6330.40234375
0.24600001 130125.28906250 6267.48486328
0.24700001 128285.65625000 7158.33984375
0.24800001 126445.87500000 5195.02880859
0.24900001 124608.67187500 7476.52050781
0.25000000 122775.35937500 4622.49218750
0.25100002 120942.67187500 5485.95996094
0.25200000 119116.89062500 4520.48583984
0.25300002 117293.48437500 5809.54687500
0.25400001 115474.45312500 4416.89794922
0.25500003 113659.28125000 4364.51660156
0.25600001 111852.82031250 4743.11914062
0.25700000 110050.23437500 6388.41601562
0.25800002 108256.36718750 4626.33593750
0.25900000 106468.92187500 6228.43212891
0.26000002 104690.39062500 6147.94384766
0.26100001 102920.08593750 4449.23535156
0.26200002 101163.92968750 4390.00927734
0.26300001 99414.44531250  3936.81225586
0.26400000 97678.50000000  4270.99218750
0.26500002 95954.86718750  3828.59936523
0.26600000 94245.74218750  3774.54199219
0.26700002 92548.21875000  4464.52636719
0.26800001 90869.21875000  4766.54492188
0.26900002 89202.28906250  5057.77001953
0.27000001 87553.42968750  4626.76123047
0.27100003 85921.64062500  3856.16357422
0.27200001 84309.42968750  4833.45996094
0.27300000 82710.62500000  4419.22851562
0.27400002 81132.28906250  3681.37792969
0.27500001 79578.44531250  3624.00244141
0.27600002 78040.98437500  4215.38427734
0.27700001 76527.28125000  3829.42529297
0.27800003 75035.09375000  3454.24096680
0.27900001 73565.21875000  3707.68725586
0.28000000 72119.37500000  5167.71386719
0.28100002 70697.79687500  3887.67211914
0.28200001 69300.46093750  4412.70703125
0.28300002 67928.17187500  3472.48852539
0.28400001 66581.32031250  3130.98657227
0.28500003 65260.35546875  3919.53735352
0.28600001 63963.45703125  4405.80322266
0.28700000 62697.18359375  4333.62939453
0.28800002 61457.37890625  3463.43090820
0.28900000 60246.42968750  3406.93554688
0.29000002 59062.30078125  3093.68359375
0.29100001 57908.05078125  4311.83349609
0.29200003 56782.17187500  3493.80737305
0.29300001 55686.02734375  2946.90478516
0.29400000 54618.59375000  2416.87280273
0.29500002 53580.86718750  3092.68774414
0.29600000 52573.29296875  2810.56835938
0.29700002 51595.16406250  2767.56469727
0.29800001 50647.07812500  2271.52148438
0.29900002 49730.44921875  3356.80566406
0.30000001 48843.30859375  2205.27539062
0.30100003 47988.37890625  3478.19799805
0.30200002 47162.71484375  2572.25463867
0.30300000 46368.44140625  2748.72119141
0.30400002 45604.96484375  2503.71264648
0.30500001 44869.69531250  2471.42285156
0.30600002 44166.23828125  2847.39770508
0.30700001 43494.92968750  2813.25219727
0.30800003 42850.93359375  2184.75512695
0.30900002 42238.83593750  1964.10595703
0.31000000 41656.32031250  2720.57421875
0.31100002 41100.34375000  2308.19555664
0.31200001 40577.99218750  2667.19140625
0.31300002 40082.66796875  2265.47265625
0.31400001 39618.65234375  2433.57568359
0.31500003 39182.01171875  2414.39575195
0.31600001 38773.30078125  2212.40454102
0.31700000 38393.56250000  2563.92211914
0.31800002 38040.64843750  2002.26965332
0.31900001 37716.87890625  1991.45129395
0.32000002 37418.76171875  2342.22753906
0.32100001 37147.02734375  1794.20141602
0.32200003 36903.35937500  2503.15502930
0.32300001 36683.78125000  2317.68139648
0.32400000 36487.50390625  2490.27221680
0.32500002 36317.85546875  2131.13183594
0.32600001 36173.34375000  2484.02343750
0.32700002 36052.39062500  2483.28881836
0.32800001 35956.82031250  1951.91601562
0.32900003 35881.25390625  3019.40771484
0.33000001 35829.86718750  2312.63891602
0.33100003 35798.23828125  2317.57812500
0.33200002 35792.23828125  2145.38696289
0.33300000 35803.03906250  2152.47875977
0.33400002 35836.15625000  2160.92041016
0.33500001 35888.25781250  1989.64501953
0.33600003 35960.10937500  2363.11865234
0.33700001 36047.18359375  2193.11083984
0.33800003 36155.33984375  2390.04882812
0.33900002 36279.15234375  2405.30786133
0.34000000 36421.31250000  2608.13012695
0.34100002 36579.03515625  2251.80541992
0.34200001 36753.95312500  2080.09008789
0.34300002 36942.53125000  2096.85815430
0.34400001 37146.55468750  2691.26806641
0.34500003 37363.30468750  2908.73339844
0.34600002 37595.93750000  2152.55541992
0.34700000 37838.28125000  2172.67407227
0.34800002 38093.86718750  3589.58520508
0.34900001 38359.74218750  2618.05249023
0.35000002 38637.97656250  2441.14746094
0.35100001 38927.71484375  2466.46020508
0.35200003 39225.03906250  2700.05566406
0.35300002 39532.59375000  2309.09887695
0.35400000 39850.17187500  2970.83032227
0.35500002 40173.81250000  2359.80981445
0.35600001 40505.94140625  2386.00244141
0.35700002 40844.45312500  3948.02514648
0.35800001 41189.86718750  3105.30419922
0.35900003 41542.48046875  2691.95288086
0.36000001 41899.80859375  3403.31201172
0.36100003 42261.28125000  3671.66040039
0.36200002 42627.38281250  2553.16723633
0.36300001 42997.23437500  2817.17895508
0.36400002 43370.42578125  2611.98413086
0.36500001 43746.36328125  3122.17797852
0.36600003 44126.27343750  3400.81225586
0.36700001 44506.56640625  3439.46752930
0.36800003 44891.25000000  2733.20410156
0.36900002 45275.00000000  3015.31518555
0.37000000 45658.44140625  3049.07080078
0.37100002 46042.78125000  2826.10595703
0.37200001 46428.29296875  2597.66308594
0.37300003 46811.37890625  2888.73046875
0.37400001 47195.11718750  3451.14306641
0.37500003 47575.10156250  3219.88305664
0.37600002 47955.03515625  3796.60034180
0.37700000 48333.12500000  4384.78125000
0.37800002 48708.43359375  3045.98217773
0.37900001 49082.24218750  3636.99414062
0.38000003 49452.14453125  3108.80932617
0.38100001 49817.76562500  3425.46972656
0.38200003 50181.00781250  2882.89916992
0.38300002 50538.75390625  2911.03222656
0.38400000 50894.28906250  3526.97436523
0.38500002 51243.28125000  2966.98608398
0.38600001 51589.13671875  4492.12402344
0.38700002 51926.21093750  3626.52685547
0.38800001 52260.75781250  3049.41528320
0.38900003 52589.51562500  3384.13549805
0.39000002 52914.22265625  3724.10302734
0.39100003 53231.65234375  3443.02343750
0.39200002 53542.78515625  3787.61669922
0.39300001 53848.91406250  3500.71801758
0.39400002 54148.72265625  3849.97436523
0.39500001 54439.74218750  5173.95312500
0.39600003 54725.78906250  3584.81298828
0.39700001 55003.89062500  3283.73242188
0.39800003 55277.19531250  3970.00854492
0.39900002 55541.17187500  4332.21142578
0.40000001 55796.29687500  4362.99169922
0.40100002 56046.09765625  4731.41162109
0.40200001 56289.75781250  3742.98754883
0.40300003 56524.33984375  4795.52539062
0.40400001 56752.24218750  4137.23876953
0.40500003 56972.20703125  4163.52929688
0.40600002 57185.68359375  4887.66064453
0.40700001 57390.99218750  5268.49316406
0.40800002 57588.13671875  4946.24511719
0.40900001 57778.02734375  4619.35351562
0.41000003 57960.48437500  5002.56982422
0.41100001 58134.26562500  3592.69775391
0.41200003 58300.89843750  3611.74096680
0.41300002 58456.87109375  3993.18896484
0.41400003 58608.08593750  5837.36572266
0.41500002 58752.25000000  4765.98291016
0.41600001 58886.85156250  5156.72167969
0.41700003 59015.08984375  4440.29541016
0.41800001 59137.78515625  3716.80981445
0.41900003 59249.34765625  3732.70922852
0.42000002 59355.18359375  4123.10791016
0.42100003 59455.05859375  5645.25830078
0.42200002 59546.46484375  4533.86816406
0.42300001 59629.68750000  4171.69287109
0.42400002 59706.72656250  4186.93457031
0.42500001 59773.95703125  3819.55590820
0.42600003 59836.23828125  4982.26464844
0.42700002 59892.54296875  4229.61132812
0.42800003 59941.62500000  5014.41699219
0.42900002 59984.87500000  5416.63427734
0.43000001 60020.97656250  4656.42724609
0.43100002 60049.10546875  6225.89160156
0.43200001 60073.01171875  4682.09082031
0.43300003 60089.25781250  4302.99218750
0.43400002 60099.63281250  5097.95166016
0.43500003 60103.91406250  3930.79638672
0.43600002 60104.08203125  3939.82275391
0.43700001 60097.02343750  4343.21191406
0.43800002 60080.52734375  4747.56347656
0.43900001 60063.03125000  4756.99218750
0.44000003 60038.88281250  4368.72949219
0.44100001 60009.76953125  5570.10693359
0.44200003 59976.57031250  4383.98779297
0.44300002 59938.32421875  4391.08203125
0.44400004 59894.40625000  4397.74707031
0.44500002 59844.41015625  4403.95019531
0.44600001 59791.43750000  4009.01586914
0.44700003 59733.88281250  4415.52880859
0.44800001 59671.13281250  4420.73583984
0.44900003 59605.47656250  5632.71777344
0.45000002 59535.68750000  7249.66113281
0.45100003 59458.27343750  4837.52539062
0.45200002 59380.50390625  4438.39599609
0.45300001 59298.08203125  4038.19946289
0.45400003 59212.80468750  4849.52880859
0.45500001 59124.79687500  4044.13623047
0.45600003 59032.68750000  4856.02929688
0.45700002 58937.65625000  7693.13232422
0.45800003 58839.17187500  6076.61572266
0.45900002 58736.98046875  4863.42236328
0.46000001 58635.03125000  4865.53515625
0.46100003 58527.05078125  5678.29492188
0.46200001 58418.52734375  4462.88330078
0.46300003 58304.71484375  4463.80908203
0.46400002 58190.22265625  5682.27539062
0.46500003 58074.80468750  4059.42919922
0.46600002 57956.31250000  4465.82373047
0.46700001 57835.56250000  4872.06787109
0.46800002 57715.27734375  5684.37792969
0.46900001 57590.26953125  4872.13671875
0.47000003 57464.93750000  4465.88769531
0.47100002 57337.78125000  4059.51513672
0.47200003 57209.71484375  4464.93261719
0.47300002 57080.75390625  4464.28613281
0.47400004 56948.85156250  4463.36669922
0.47500002 56816.76171875  4868.06054688
0.47600001 56682.39843750  5272.31347656
0.47700003 56547.21875000  4054.43579102
0.47800002 56412.57812500  4458.56835938
0.47900003 56277.31640625  4457.16357422
0.48000002 56140.24218750  4455.57031250
0.48100004 56004.51171875  4858.95166016
0.48200002 55866.17968750  6071.25732422
0.48300001 55727.18359375  4450.37304688
0.48400003 55589.04687500  4852.92382812
0.48500001 55450.04296875  4042.30834961
0.48600003 55311.68750000  4444.57080078
0.48700002 55172.14843750  5654.04199219
0.48800004 55031.50000000  4843.87304688
0.48900002 54889.40234375  6454.99414062
0.49000001 54749.45312500  5241.98632812
0.49100003 54610.37890625  4836.29541016
0.49200001 54470.00781250  5639.28027344
0.49300003 54330.87109375  5636.28515625
0.49400002 54191.25390625  5230.81103516
0.49500003 54051.98828125  4825.76171875
0.49600002 53913.73046875  4421.19580078
0.49700001 53774.69921875  6025.45507812
0.49800003 53636.91015625  4014.72290039
0.49900001 53498.44140625  5617.33642578
0.50000000 53360.97265625  4812.09228516
