# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
# offset = 0.00000000000000, scaling c = 1.07380783204352, Chi^2 = 5.49396567543748
#  q       exp_intensity   model_intensity error
0.00000000 21147112.00000000 21138063.94972026 4440.89355469
0.00100000 21142752.00000000 21130856.55155158 6977.10839844
0.00200000 21129754.00000000 21119487.07422591 11410.06738281
0.00300000 21108088.00000000 21098459.76925883 12664.85253906
0.00400000 21077560.00000000 21070510.69900640 18969.80468750
0.00500000 21038452.00000000 21031832.14089620 28401.91210938
0.00600000 20990886.00000000 20984814.39116234 24244.47265625
0.00700000 20934730.00000000 20929453.15457350 27633.84375000
0.00800000 20870056.00000000 20869661.38686965 36626.94921875
0.00900000 20797134.00000000 20797615.32418653 46793.55468750
0.01000000 20715770.00000000 20715368.08709899 47853.43359375
0.01100000 20626422.00000000 20631303.96715963 48265.83203125
0.01200000 20528884.00000000 20535872.51751025 48037.58984375
0.01300000 20423360.00000000 20437103.67311889 47177.96093750
0.01400000 20310146.00000000 20325030.34968851 50267.61328125
0.01500000 20189162.00000000 20205485.47136277 67835.58593750
0.01600000 20060484.00000000 20082979.03103625 56269.66015625
0.01700000 19924658.00000000 19950690.20135982 59176.23828125
0.01800000 19781520.00000000 19813451.11757766 56377.33593750
0.01900000 19631278.00000000 19663468.08244481 64783.22265625
0.02000000 19474166.00000000 19512943.84816461 73612.35156250
0.02100000 19310534.00000000 19352469.71051270 82842.19531250
0.02200000 19140232.00000000 19189180.04872517 72637.18750000
0.02300000 18963720.00000000 19017239.79104270 95577.15625000
0.02400000 18781060.00000000 18840924.84025248 84514.77343750
0.02500000 18592590.00000000 18657003.03478007 145022.20312500
0.02600000 18398412.00000000 18467231.12423868 119221.71093750
0.02700000 18198800.00000000 18274450.40415190 114652.44531250
0.02800000 17994112.00000000 18076762.38227269 78274.39062500
0.02900000 17784286.00000000 17874332.42500717 120043.93750000
0.03000000 17569782.00000000 17663960.58501586 89869.43750000
0.03100000 17350814.00000000 17451092.14181505 91612.30468750
0.03200000 17127576.00000000 17233565.52023883 84781.50781250
0.03300000 16900368.00000000 17015128.30962104 103430.25000000
0.03400000 16669381.00000000 16789376.32005137 113768.53125000
0.03500000 16434966.00000000 16560975.24656005 133123.21875000
0.03600000 16197206.00000000 16330720.78075062 89894.50000000
0.03700000 15956524.00000000 16093854.88011930 163713.93750000
0.03800000 15713013.00000000 15857853.39479277 110305.35937500
0.03900000 15467117.00000000 15618450.08625434 139204.06250000
0.04000000 15218888.00000000 15374785.90823835 102955.78125000
0.04100000 14968735.00000000 15130876.90203665 132024.25000000
0.04200000 14716899.00000000 14886602.80117206 132893.60937500
0.04300000 14463494.00000000 14640888.72400470 105004.96875000
0.04400000 14208893.00000000 14393453.33288258 153456.06250000
0.04500000 13953341.00000000 14140780.98096358 105905.85937500
0.04600000 13697014.00000000 13892452.18172519 96563.95312500
0.04700000 13440236.00000000 13642580.32063216 125800.61718750
0.04800000 13183172.00000000 13392172.62943094 116275.57812500
0.04900000 12926116.00000000 13139982.41722852 145418.81250000
0.05000000 12669222.00000000 12891040.47371804 106611.50781250
0.05100000 12412800.00000000 12639256.16087614 116183.81250000
0.05200000 12157075.00000000 12389186.71914201 115978.50000000
0.05300000 11902193.00000000 12140581.95129079 144611.65625000
