# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.18300001 197844.50000000 7098.66113281
0.18400002 194391.00000000 7012.65576172
0.18500000 190998.00000000 6927.49755859
0.18600000 187679.50000000 6317.29199219
0.18700001 184435.00000000 7801.60058594
0.18800001 181243.50000000 6165.90429688
0.18900001 178145.00000000 7107.98583984
0.19000001 175083.00000000 8025.80517578
0.19100001 172114.50000000 6443.96728516
0.19200000 169208.00000000 6368.14306641
0.19300000 166342.50000000 8228.96386719
0.19400001 163579.50000000 5263.17041016
0.19500001 160846.00000000 5674.64697266
0.19600001 158192.50000000 6076.96533203
0.19700001 155562.00000000 4620.19189453
0.19800001 153040.50000000 5025.08496094
0.19900002 150540.50000000 4967.83691406
0.20000000 148111.00000000 4912.10156250
0.20100001 145737.00000000 5298.99755859
0.20200001 143407.00000000 4803.41748047
0.20300001 141137.50000000 5614.45019531
0.20400001 138934.50000000 5553.90673828
0.20500001 136758.00000000 4648.40478516
0.20600002 134624.00000000 5016.09082031
0.20700002 132530.00000000 7029.39160156
0.20800000 130512.00000000 5728.17187500
0.20900001 128528.50000000 5263.24218750
0.21000001 126596.50000000 5208.81298828
0.21100001 124703.00000000 5948.33349609
0.21200001 122826.00000000 4316.72021484
0.21300001 121010.00000000 6603.51611328
0.21400002 119259.50000000 4230.73095703
0.21500000 117531.50000000 4569.62500000
0.21600001 115845.00000000 6033.20751953
0.21700001 114174.00000000 4480.18798828
0.21800001 112572.50000000 5916.81103516
0.21900001 110968.25000000 5126.73339844
0.22000001 109434.00000000 3627.73730469
0.22100002 107922.25000000 5031.33544922
0.22200002 106443.25000000 5340.79052734
0.22300000 104982.75000000 3880.16259766
0.22400001 103564.50000000 4194.36230469
0.22500001 102187.50000000 5196.23437500
0.22600001 100827.75000000 4806.45898438
0.22700001 99493.00000000  3742.92675781
0.22800002 98203.00000000  4385.25537109
0.22900002 96936.75000000  4013.18164062
0.23000000 95696.75000000  3979.07104492
0.23100001 94476.50000000  4274.11718750
0.23200001 93288.75000000  3260.44189453
0.23300001 92123.00000000  4850.27636719
0.23400001 90987.50000000  4169.50244141
0.23500001 89865.00000000  4135.58740234
0.23600002 88774.75000000  3787.13110352
0.23700002 87700.00000000  3443.97924805
0.23800001 86654.25000000  3417.21044922
0.23900001 85632.75000000  3699.33496094
0.24000001 84621.50000000  3976.78759766
0.24100001 83636.00000000  4553.98046875
0.24200001 82674.00000000  3314.81420898
0.24300002 81731.75000000  5683.62646484
0.24400002 80798.25000000  2969.33593750
0.24500000 79893.75000000  3242.88745117
0.24600001 78991.25000000  3511.95117188
0.24700001 78126.00000000  3196.91601562
0.24800001 77265.75000000  3463.05102539
0.24900001 76423.50000000  2865.88134766
0.25000000 75589.00000000  3415.11108398
0.25100002 74791.50000000  4240.67822266
0.25200000 73996.50000000  4493.06738281
0.25300002 73214.00000000  3905.23510742
0.25400001 72452.00000000  3325.54687500
0.25500003 71697.50000000  3579.13964844
0.25600001 70969.00000000  3009.44067383
0.25700000 70236.00000000  4077.19970703
0.25800002 69525.75000000  2971.18310547
0.25900000 68831.00000000  2684.40893555
0.26000002 68141.75000000  2934.52465820
0.26100001 67455.75000000  3976.51660156
0.26200002 66800.00000000  3952.89038086
0.26300001 66148.25000000  2619.47070312
0.26400000 65518.75000000  3646.11840820
0.26500002 64879.75000000  4918.53417969
0.26600000 64252.25000000  3087.96313477
0.26700002 63653.25000000  2814.74682617
0.26800001 63037.25000000  3052.26367188
0.26900002 62458.50000000  3541.39721680
0.27000001 61874.50000000  3269.75805664
0.27100003 61301.25000000  2501.09130859
0.27200001 60745.00000000  4228.76318359
0.27300000 60190.00000000  3710.71362305
0.27400002 59643.00000000  3444.38354492
0.27500001 59103.50000000  2936.26196289
0.27600002 58576.50000000  2677.23925781
0.27700001 58051.00000000  2904.87207031
0.27800003 57540.50000000  2889.68408203
0.27900001 57029.25000000  2395.22851562
0.28000000 56533.00000000  2859.43920898
0.28100002 56038.62500000  2607.47729492
0.28200001 55554.25000000  2594.10571289
0.28300002 55077.12500000  3754.05712891
0.28400001 54605.25000000  3501.56176758
0.28500003 54139.12500000  3251.59619141
0.28600001 53688.50000000  2773.54809570
0.28700000 53236.50000000  2529.79858398
0.28800002 52777.37500000  2974.26904297
0.28900000 52336.75000000  2504.31347656
0.29000002 51910.50000000  3398.84033203
0.29100001 51481.00000000  2480.35473633
0.29200003 51053.50000000  2916.94189453
0.29300001 50641.62500000  3126.61401367
0.29400000 50225.62500000  2889.22900391
0.29500002 49816.12500000  2211.83618164
0.29600000 49412.25000000  2421.44726562
0.29700002 49015.75000000  2191.00415039
0.29800001 48627.25000000  2835.21191406
0.29900002 48243.50000000  2388.05346680
0.30000001 47851.62500000  3240.75146484
0.30100003 47477.62500000  2795.95751953
0.30200002 47104.50000000  2783.16943359
0.30300000 46739.87500000  2557.60595703
0.30400002 46373.25000000  3182.36450195
0.30500001 46012.75000000  2323.18383789
0.30600002 45660.37500000  2523.19262695
0.30700001 45311.50000000  2512.06958008
0.30800003 44957.62500000  2292.16479492
0.30900002 44622.50000000  2282.44091797
0.31000000 44281.12500000  2685.42895508
0.31100002 43948.75000000  2468.16186523
0.31200001 43615.12500000  2662.04931641
0.31300002 43290.75000000  2242.89404297
0.31400001 42965.50000000  2639.15600586
0.31500003 42652.37500000  3032.58422852
0.31600001 42337.50000000  2214.46313477
0.31700000 42022.87500000  2605.83837891
0.31800002 41721.87500000  2794.94848633
0.31900001 41417.62500000  2186.85058594
0.32000002 41124.12500000  2376.15209961
0.32100001 40831.25000000  2366.57934570
0.32200003 40539.62500000  2160.55957031
0.32300001 40251.12500000  2738.68676758
0.32400000 39968.87500000  3312.42041016
0.32500002 39684.62500000  2522.75170898
0.32600001 39411.75000000  2319.77563477
0.32700002 39140.75000000  2310.87011719
0.32800001 38872.62500000  2110.20043945
0.32900003 38609.50000000  1911.17041016
0.33000001 38351.75000000  2665.83032227
0.33100003 38093.75000000  3414.72412109
0.33200002 37846.00000000  2835.61181641
0.33300000 37597.87500000  2260.38427734
0.33400002 37353.62500000  2064.72167969
0.33500001 37116.37500000  2057.73193359
0.33600003 36881.62500000  2237.23950195
0.33700001 36642.12500000  1857.75585938
0.33800003 36418.12500000  3148.16503906
0.33900002 36192.75000000  3137.91162109
0.34000000 35977.00000000  2760.33544922
0.34100002 35760.87500000  2201.43969727
0.34200001 35547.75000000  2011.82495117
0.34300002 35339.50000000  2188.22192383
0.34400001 35139.12500000  2000.29479980
0.34500003 34936.37500000  2175.83764648
0.34600002 34744.50000000  2170.14160156
0.34700000 34554.62500000  3066.37744141
0.34800002 34369.00000000  2698.82592773
0.34900001 34187.12500000  1974.30651855
0.35000002 34004.00000000  2685.46606445
0.35100001 33834.50000000  2143.75390625
0.35200003 33663.87500000  2317.25292969
0.35300002 33497.25000000  1956.57446289
0.35400000 33338.87500000  2485.41308594
0.35500002 33185.87500000  1949.33837891
0.35600001 33029.25000000  2122.45971680
0.35700002 32888.75000000  2295.96386719
0.35800001 32743.00000000  2115.85278320
0.35900003 32606.06250000  2288.94580078
0.36000001 32468.87500000  2109.82763672
0.36100003 32345.75000000  2283.28662109
0.36200002 32221.18750000  2105.33251953
0.36300001 32096.68750000  2278.22290039
0.36400002 31984.75000000  1926.28173828
0.36500001 31872.00000000  2799.63647461
0.36600003 31767.00000000  1923.65087891
0.36700001 31664.87500000  2447.06152344
0.36800003 31571.37500000  2446.46606445
0.36900002 31477.87500000  2620.53320312
0.37000000 31391.06250000  1746.91259766
0.37100002 31309.37500000  2096.47583008
0.37200001 31228.00000000  2096.64794922
0.37300003 31153.93750000  2272.05688477
0.37400001 31084.12500000  1923.33032227
0.37500003 31023.87500000  2274.67065430
0.37600002 30960.56250000  2100.98388672
0.37700000 30909.25000000  1927.80993652
0.37800002 30855.43750000  2104.95800781
0.37900001 30806.06250000  2282.72924805
0.38000003 30766.50000000  2285.79736328
0.38100001 30729.18750000  2289.01733398
0.38200003 30694.75000000  1939.75488281
0.38300002 30669.06250000  2473.15332031
0.38400000 30645.43750000  2123.72875977
0.38500002 30623.37500000  1950.40283203
0.38600001 30608.37500000  2309.86108398
0.38700002 30597.00000000  1958.82006836
0.38800001 30589.68750000  2677.36254883
0.38900003 30585.18750000  2504.92700195
0.39000002 30583.43750000  1973.09057617
0.39100003 30590.75000000  2338.35717773
0.39200002 30600.18750000  2345.04541016
0.39300001 30614.50000000  2171.18041992
0.39400002 30628.43750000  2177.68212891
0.39500001 30650.31250000  2184.75439453
0.39600003 30674.25000000  2557.31250000
0.39700001 30699.93750000  2199.34350586
0.39800003 30732.25000000  2758.98803711
0.39900002 30769.68750000  2400.03564453
0.40000001 30803.93750000  2593.99951172
0.40100002 30845.75000000  2045.99865723
0.40200001 30891.12500000  2240.84228516
0.40300003 30938.93750000  2437.36962891
0.40400001 30985.00000000  2258.80664062
0.40500003 31038.68750000  2268.30737305
0.40600002 31098.25000000  2278.25781250
0.40700001 31157.68750000  2669.59082031
0.40800002 31214.31250000  2489.49755859
0.40900001 31281.56250000  2500.96093750
0.41000003 31345.68750000  1932.46179199
0.41100001 31414.37500000  2329.69018555
0.41200003 31482.62500000  2535.45336914
0.41300002 31554.62500000  2351.45068359
0.41400003 31628.81250000  3544.00878906
0.41500002 31706.25000000  2176.31713867
0.41600001 31781.43750000  2186.72192383
0.41700003 31862.43750000  2197.55249023
0.41800001 31943.43750000  2007.64514160
0.41900003 32024.06250000  3228.02563477
0.42000002 32105.93750000  2230.23901367
0.42100003 32188.12500000  2241.25927734
0.42200002 32274.25000000  2662.14160156
0.42300001 32360.12500000  2469.72485352
0.42400002 32448.06250000  2482.27685547
0.42500001 32532.37500000  3118.22827148
0.42600003 32619.12500000  2924.95703125
0.42700002 32706.81250000  3569.62158203
0.42800003 32795.81250000  2321.45166016
0.42900002 32883.31250000  2333.07104492
0.43000001 32968.31250000  2131.40136719
0.43100002 33056.93750000  2998.92553711
0.43200001 33140.62500000  2367.73193359
0.43300003 33229.37500000  2163.23242188
0.43400002 33310.81250000  3477.64892578
0.43500003 33399.12500000  2839.59375000
0.43600002 33482.56250000  2853.21679688
0.43700001 33565.62500000  2425.78784180
0.43800002 33641.87500000  3322.97631836
0.43900001 33727.00000000  2225.98193359
0.44000003 33803.81250000  2906.95898438
0.44100001 33882.06250000  2920.29516602
0.44200003 33957.50000000  2707.77124023
0.44300002 34032.62500000  2719.88745117
0.44400004 34103.00000000  3414.56323242
0.44500002 34176.06250000  2286.37866211
0.44600001 34242.81250000  2525.57861328
0.44700003 34307.25000000  2766.53686523
0.44800001 34373.06250000  2778.03100586
0.44900003 34434.06250000  3254.01904297
0.45000002 34491.62500000  2566.69433594
0.45100003 34547.81250000  2342.34179688
0.45200002 34600.31250000  3056.41870117
0.45300001 34651.93750000  2831.75634766
0.45400003 34700.37500000  2368.30078125
0.45500001 34747.87500000  2614.43017578
0.45600003 34787.25000000  2861.59936523
0.45700002 34829.93750000  3349.94360352
0.45800003 34862.50000000  2400.28320312
0.45900002 34895.56250000  2648.57324219
0.46000001 34927.43750000  3381.32519531
0.46100003 34951.93750000  2664.38623047
0.46200001 34974.43750000  3157.66723633
0.46300003 34994.31250000  2922.72509766
