# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
# offset = 0.00000000000000, scaling c = 1.87630782746791, Chi^2 = 3.22884087725121
#  q       exp_intensity   model_intensity error
0.18500000 289125.21875000 269070.80994026 8873.25292969
0.18600000 283825.59375000 262955.39501897 11145.83105469
0.18700001 278727.37500000 257240.77704001 9432.13476562
0.18800001 273823.18750000 251606.75234570 8539.17675781
0.18900001 269105.78125000 246288.09395295 11504.27246094
0.19000001 264559.06250000 241000.89303363 7579.61767578
0.19100001 260189.34375000 236076.77233757 8992.14453125
0.19200000 255976.59375000 231305.79060928 12597.88769531
0.19300000 251922.01562500 226782.36424497 10996.39648438
0.19400001 248011.40625000 222328.56649145 8705.20019531
0.19500001 244242.73437500 218256.26023175 7898.81054688
0.19600001 240606.32812500 214038.65738466 7109.91748047
0.19700001 237094.96875000 210193.76549712 10562.58105469
0.19800001 233705.54687500 206395.25359369 9068.94433594
0.19900002 230430.31250000 202832.46751973 7604.20068359
0.20000000 227263.42187500 199356.38738952 8222.39062500
0.20100001 224198.98437500 195991.06805576 7472.55224609
0.20200001 221228.39062500 192724.70930123 6736.40478516
0.20300001 218351.28125000 189644.31024280 9354.16894531
0.20400001 215557.42187500 186719.71802732 11268.26464844
0.20500001 212846.25000000 183832.19755008 9207.72949219
0.20600002 210208.76562500 181038.65370943 7179.68115234
0.20700002 207641.45312500 178308.53786853 7774.09667969
0.20800000 205139.23437500 175704.77963289 6431.11523438
0.20900001 202703.46875000 173251.60975906 6385.15966797
0.21000001 200318.14062500 170794.32080320 8242.08984375
0.21100001 197989.95312500 168492.16439218 7555.29687500
0.21200001 195710.82812500 166252.39521641 10004.73828125
0.21300001 193475.87500000 163983.48463470 6831.63378906
0.21400002 191284.81250000 161910.35504786 7402.72265625
0.21500000 189134.42187500 159810.56136776 7966.34179688
0.21600001 187015.65625000 157790.65735687 6696.09570312
0.21700001 184931.43750000 155875.94385356 7256.70996094
0.21800001 182876.87500000 153887.26277761 7809.75732422
0.21900001 180846.54687500 152035.44956248 6564.72998047
0.22000001 178842.45312500 150268.96437754 7707.21582031
