# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
# offset = 0.00000000000000, scaling c = 4.24982364590216, Chi^2 = 333.012691259715
#  q       exp_intensity   model_intensity error
0.00000000 7122736.00000000 7073875.01929652 1068.41040039
0.00100000 7122028.50000000 7073026.64825121 2563.93041992
0.00200000 7119773.00000000 7072214.93193484 4165.06738281
0.00300000 7116045.50000000 7069080.15576803 4696.58984375
0.00400000 7110838.00000000 7066575.94718469 5866.44140625
0.00500000 7104140.50000000 7061378.41286575 7033.09960938
0.00600000 7095954.00000000 7055180.57630615 10431.05273438
0.00700000 7086302.50000000 7048708.09489345 11904.98828125
0.00800000 7075183.50000000 7041458.42698149 10506.64746094
0.00900000 7062585.00000000 7032588.51380454 19068.98046875
0.01000000 7048543.00000000 7022187.60165915 13956.11621094
0.01100000 7033048.00000000 7012335.97921999 13925.43652344
0.01200000 7016147.00000000 7000793.98942568 20522.23046875
0.01300000 6997781.00000000 6987386.32705081 19103.94335938
0.01400000 6978007.00000000 6973374.12726232 17270.56835938
0.01500000 6956853.50000000 6958859.91705565 25044.67382812
0.01600000 6934279.50000000 6943033.57379831 22987.13671875
0.01700000 6910311.00000000 6926528.85244149 18657.83984375
0.01800000 6885000.00000000 6908652.50050296 27471.15234375
0.01900000 6858361.00000000 6890332.57322139 28805.11718750
0.02000000 6830339.00000000 6870279.78034820 23667.12695312
0.02100000 6801037.00000000 6849735.60161595 22443.42382812
0.02200000 6770403.50000000 6828324.99008790 32701.05078125
0.02300000 6738509.00000000 6805884.85878162 33962.08984375
0.02400000 6705336.50000000 6782176.15511705 25145.01171875
0.02500000 6670932.00000000 6758317.11394100 31219.96289062
0.02600000 6635267.50000000 6733334.52563856 59120.23437500
0.02700000 6598427.50000000 6707093.98953694 27713.39648438
0.02800000 6560403.50000000 6680132.57709938 28537.75585938
0.02900000 6521195.50000000 6652157.05049431 35214.45703125
0.03000000 6480863.50000000 6623261.96829787 45204.02343750
0.03100000 6439414.50000000 6593899.93672833 34000.10937500
0.03200000 6396857.50000000 6562980.34479257 31664.44531250
0.03300000 6353262.00000000 6532026.75426764 35641.80078125
0.03400000 6308590.00000000 6500216.29305011 33120.09765625
0.03500000 6262904.50000000 6467350.28188452 43965.58984375
0.03600000 6216216.50000000 6433184.88713921 48300.00390625
0.03700000 6168572.00000000 6399094.39553565 45709.11718750
0.03800000 6119986.50000000 6363855.92031974 46542.50000000
0.03900000 6070470.00000000 6328315.70762497 36422.82031250
0.04000000 6020078.00000000 6291633.88605332 44428.17968750
0.04100000 5968827.50000000 6254366.65127445 37603.61328125
0.04200000 5916735.00000000 6215669.88206668 45795.53125000
0.04300000 5863836.00000000 6177220.13385834 65792.24218750
0.04400000 5810157.00000000 6137545.90521202 90202.69531250
0.04500000 5755735.50000000 6098390.15505050 43686.03515625
