# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 7122272.00000000 1068.34082031
0.00100000 7121600.00000000 2350.12817383
0.00200000 7119904.00000000 4165.14404297
0.00300000 7116432.00000000 5123.83105469
0.00400000 7110896.00000000 5333.17236328
0.00500000 7104560.00000000 6394.10449219
0.00600000 7097456.00000000 7452.32861328
0.00700000 7089120.00000000 12760.41601562
0.00800000 7078560.00000000 9556.05664062
0.00900000 7066416.00000000 10599.62500000
0.01000000 7053360.00000000 12801.84960938
0.01100000 7039328.00000000 13937.87011719
0.01200000 7023040.00000000 16433.91406250
0.01300000 7005872.00000000 16183.56445312
0.01400000 6988064.00000000 18867.77343750
0.01500000 6968416.00000000 23413.87890625
0.01600000 6946608.00000000 17713.85156250
0.01700000 6924688.00000000 24305.65625000
0.01800000 6900832.00000000 19667.37304688
0.01900000 6876272.00000000 24754.58007812
0.02000000 6849904.00000000 23734.91992188
0.02100000 6822304.00000000 27016.32617188
0.02200000 6794240.00000000 37504.20703125
0.02300000 6764128.00000000 31656.12109375
0.02400000 6732896.00000000 30298.03320312
0.02500000 6701680.00000000 36591.17187500
0.02600000 6667120.00000000 27001.83593750
0.02700000 6633296.00000000 33431.81250000
0.02800000 6597552.00000000 28699.35156250
0.02900000 6561360.00000000 29526.12109375
0.03000000 6523248.00000000 36399.72656250
0.03100000 6484320.00000000 43574.63281250
0.03200000 6444256.00000000 35088.97656250
0.03300000 6404096.00000000 52257.42187500
0.03400000 6362048.00000000 36740.82812500
0.03500000 6319344.00000000 51186.68750000
0.03600000 6275408.00000000 38311.36718750
0.03700000 6231104.00000000 42620.75000000
0.03800000 6185120.00000000 47037.83984375
0.03900000 6139104.00000000 40518.08593750
0.04000000 6091680.00000000 52449.36718750
0.04100000 6044192.00000000 45694.09375000
0.04200000 5995520.00000000 46405.32812500
0.04300000 5945248.00000000 43162.50000000
0.04400000 5895376.00000000 51731.92968750
0.04500000 5843984.00000000 60485.23828125
0.04600000 5791952.00000000 69416.54687500
0.04700000 5739296.00000000 53719.81250000
0.04800000 5686336.00000000 54332.94140625
0.04900000 5633440.00000000 63376.20312500
0.05000000 5578720.00000000 51212.64843750
0.05100000 5524240.00000000 43089.07421875
0.05200000 5468368.00000000 56515.58593750
0.05300000 5412672.00000000 48226.91015625
0.05400000 5356240.00000000 48607.87890625
0.05500000 5299584.00000000 75678.06250000
0.05600000 5242176.00000000 71712.96875000
0.05700000 5184320.00000000 67655.38281250
0.05800000 5126416.00000000 58979.41796875
0.05900000 5068048.00000000 50173.67968750
0.06000000 5009648.00000000 50422.10937500
0.06100000 4950864.00000000 55251.64453125
0.06200000 4891792.00000000 55472.92187500
0.06300000 4832128.00000000 46388.42968750
0.06400000 4772608.00000000 51186.22265625
0.06500001 4712512.00000000 60650.03515625
0.06600000 4652864.00000000 56113.53906250
0.06700000 4592544.00000000 56212.73828125
0.06800000 4532576.00000000 60985.81250000
0.06900001 4471888.00000000 65736.75781250
0.07000000 4411552.00000000 61077.93750000
0.07100000 4351504.00000000 70494.36718750
0.07200000 4291184.00000000 61085.00781250
0.07300001 4231360.00000000 70452.14843750
0.07400000 4171216.00000000 70389.27343750
0.07500000 4111024.00000000 51552.24218750
0.07600001 4050576.00000000 56140.98828125
0.07700001 3990528.00000000 51358.10156250
0.07800000 3930728.00000000 46579.12890625
0.07900000 3871208.00000000 51099.94921875
0.08000001 3811848.00000000 46313.95703125
0.08100000 3752520.00000000 46155.99609375
0.08200000 3693632.00000000 64380.00781250
0.08300000 3634584.00000000 59534.48828125
0.08400001 3576032.00000000 45594.41015625
0.08500000 3518352.00000000 49925.41406250
0.08600000 3460408.00000000 63221.65625000
0.08700000 3402248.00000000 44909.67578125
0.08800001 3345408.00000000 49127.32031250
0.08900000 3288560.00000000 48835.11718750
0.09000000 3232120.00000000 44118.44140625
0.09100001 3176168.00000000 56980.45703125
0.09200001 3119976.00000000 47876.03515625
0.09300000 3065200.00000000 47541.25390625
0.09400000 3010488.00000000 55769.29296875
0.09500001 2956376.00000000 59600.54296875
0.09600000 2902392.00000000 42229.80468750
0.09700000 2849088.00000000 54446.07421875
0.09800000 2796024.00000000 45673.05468750
0.09900001 2743904.00000000 53506.13281250
0.10000000 2692096.00000000 53020.83203125
0.10100000 2640488.00000000 72719.03906250
0.10200001 2590000.00000000 48018.60156250
0.10300001 2539720.00000000 43581.59765625
0.10400000 2490368.00000000 39223.29687500
0.10500000 2441200.00000000 54341.11328125
0.10600001 2392896.00000000 57608.97265625
0.10700001 2345144.00000000 49388.73828125
0.10800000 2297800.00000000 48839.74218750
0.10900000 2251088.00000000 52000.13671875
0.11000001 2205192.00000000 40388.09375000
0.11100001 2159712.00000000 54424.74609375
0.11200000 2115104.00000000 39436.11718750
0.11300001 2071104.00000000 35415.87890625
0.11400001 2027312.00000000 48959.58984375
0.11500000 1984392.00000000 51792.63281250
0.11600000 1942268.00000000 51130.20703125
0.11700001 1900788.00000000 37008.34375000
0.11800001 1860040.00000000 39842.05859375
0.11900000 1819848.00000000 39308.71875000
0.12000000 1780252.00000000 35542.73437500
0.12100001 1741240.00000000 38237.63281250
0.12200001 1703232.00000000 37709.55859375
0.12300000 1665232.00000000 34070.64843750
0.12400001 1628484.00000000 30534.07617188
0.12500000 1592148.00000000 39119.07812500
0.12600000 1556412.00000000 35579.57812500
0.12700000 1521352.00000000 37972.94531250
0.12800001 1487156.00000000 31654.11718750
0.12900001 1453272.00000000 34006.56640625
0.13000001 1420372.00000000 30701.34375000
0.13100001 1387860.00000000 35723.51953125
0.13200000 1355992.00000000 35167.65234375
0.13300000 1325164.00000000 29299.37695312
0.13400000 1294388.00000000 31453.62890625
0.13500001 1264504.00000000 28375.47070312
0.13600001 1235332.00000000 38079.10937500
0.13700001 1206504.00000000 27472.09765625
0.13800001 1178472.00000000 27028.25781250
0.13900001 1151172.00000000 26592.07617188
0.14000000 1124244.00000000 26155.53710938
0.14100000 1097884.00000000 28061.91601562
0.14200000 1072176.00000000 34497.26562500
0.14300001 1047060.00000000 22616.49609375
0.14400001 1022544.00000000 24464.36718750
0.14500001 998508.00000000 32800.98828125
0.14600001 975118.00000000 23651.48828125
0.14700000 952328.00000000 25370.01757812
0.14800000 930102.00000000 37418.00390625
0.14900000 908306.00000000 22480.57421875
0.15000001 887026.00000000 24109.36718750
0.15100001 866194.00000000 19749.22460938
0.15200001 846022.00000000 27182.68945312
0.15300001 826250.00000000 22903.65234375
0.15400001 807012.00000000 26268.24218750
0.15500000 788206.00000000 23977.22656250
0.15600000 769928.00000000 25384.52734375
0.15700001 752278.00000000 21394.78710938
0.15800001 734748.00000000 24533.23632812
0.15900001 717756.00000000 24116.60351562
0.16000001 701302.00000000 18630.08984375
0.16100001 685258.00000000 21647.30273438
0.16200000 669702.00000000 21286.47851562
0.16300000 654390.00000000 19317.59375000
0.16400000 639618.00000000 18996.65429688
0.16500001 625212.00000000 17124.55664062
0.16600001 611210.00000000 16841.89257812
0.16700001 597544.00000000 19575.54296875
0.16800001 584282.00000000 28141.94531250
0.16900001 571300.00000000 14568.15136719
0.17000000 558684.00000000 18629.31835938
0.17100000 546544.00000000 18331.08593750
0.17200001 534576.00000000 13872.24804688
0.17300001 522982.00000000 23204.71289062
0.17400001 511782.00000000 16121.13378906
0.17500001 500774.00000000 18508.60742188
0.17600001 490158.00000000 19520.54296875
0.17700000 479707.00000000 16650.63085938
0.17800000 469623.00000000 17653.12890625
0.17900001 459853.00000000 12416.03125000
0.18000001 450221.00000000 13445.85058594
0.18100001 440995.00000000 16854.83007812
0.18200001 431865.00000000 14225.63378906
0.18300001 423122.00000000 11678.16796875
0.18400002 414565.00000000 14955.43359375
0.18500000 406278.00000000 13602.18750000
0.18600000 398085.00000000 13399.54101562
0.18700001 390166.00000000 12102.95019531
0.18800001 382526.00000000 13013.53515625
0.18900001 374989.00000000 14962.06152344
0.19000001 367674.00000000 11587.24707031
0.19100001 360609.00000000 14539.75585938
0.19200000 353656.00000000 10238.34082031
0.19300000 346861.00000000 10093.65527344
0.19400001 340304.00000000 10949.28125000
0.19500001 333867.00000000 9815.69042969
0.19600001 327529.00000000 12582.02734375
0.19700001 321475.00000000 9547.80761719
0.19800001 315442.00000000 9415.94433594
0.19900002 309603.00000000 9288.09082031
0.20000000 303861.00000000 10077.54980469
0.20100001 298328.00000000 14462.94140625
0.20200001 292851.00000000 9809.04492188
0.20300001 287493.00000000 9677.01464844
0.20400001 282341.00000000 11286.58203125
0.20500001 277197.00000000 10278.46582031
0.20600002 272242.00000000 13524.98339844
0.20700002 267336.00000000 9174.97265625
0.20800000 262546.00000000 9053.89941406
0.20900001 257877.00000000 8935.43847656
0.21000001 253276.00000000 9619.42285156
0.21100001 248736.00000000 9491.76660156
0.21200001 244299.00000000 12488.56542969
0.21300001 239954.00000000 7702.52392578
0.21400002 235683.00000000 8360.85546875
0.21500000 231514.50000000 9001.28417969
0.21600001 227407.00000000 10362.93750000
0.21700001 223358.00000000 7303.80664062
0.21800001 219355.50000000 7926.41113281
0.21900001 215472.50000000 12088.00781250
0.22000001 211651.50000000 10524.37109375
0.22100002 207846.00000000 8997.65429688
0.22200002 204138.50000000 6828.43359375
0.22300000 200504.50000000 8758.03710938
0.22400001 196868.00000000 7973.15429688
0.22500001 193351.50000000 9176.46289062
0.22600001 189841.50000000 9049.74511719
0.22700001 186442.50000000 8289.23437500
0.22800002 183061.50000000 8803.42773438
0.22900002 179697.50000000 7439.47705078
0.23000000 176404.00000000 7946.11816406
0.23100001 173165.00000000 7231.37060547
0.23200001 169994.00000000 6535.41943359
0.23300001 166807.50000000 6440.43798828
0.23400001 163707.50000000 6347.75878906
0.23500001 160642.00000000 6824.07275391
0.23600002 157601.00000000 6723.25927734
0.23700002 154622.50000000 6624.02832031
0.23800001 151689.50000000 7613.29638672
0.23900001 148791.00000000 7499.06640625
0.24000001 145930.50000000 5802.92675781
0.24100001 143115.50000000 6753.62060547
0.24200001 140345.50000000 7161.83105469
0.24300002 137632.00000000 6044.79785156
0.24400002 134934.00000000 5950.58984375
0.24500000 132242.00000000 5855.67578125
0.24600001 129632.50000000 5283.17285156
