# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1739091.50000000 339.12283325
0.00100000 1738945.62500000 991.19903564
0.00200000 1738531.37500000 860.57305908
0.00300000 1737837.12500000 1146.97253418
0.00400000 1736864.12500000 1823.70739746
0.00500000 1735611.62500000 2030.66577148
0.00600000 1734089.25000000 2549.11132812
0.00700000 1732285.25000000 2286.61669922
0.00800000 1730210.00000000 2569.36206055
0.00900000 1727861.87500000 3110.15161133
0.01000000 1725238.87500000 3700.63769531
0.01100000 1722344.25000000 4030.28588867
0.01200000 1719181.62500000 3687.64453125
0.01300000 1715747.25000000 5044.29687500
0.01400000 1712048.12500000 4622.53027344
0.01500000 1708084.75000000 4509.34375000
0.01600000 1703858.00000000 6951.74072266
0.01700000 1699372.62500000 4588.30615234
0.01800000 1694627.37500000 5312.65722656
0.01900000 1689622.87500000 6589.52978516
0.02000000 1684370.87500000 9019.80664062
0.02100000 1678863.00000000 6648.29785156
0.02200000 1673105.87500000 5772.21582031
0.02300000 1667105.50000000 8402.21191406
0.02400000 1660863.62500000 8096.71044922
0.02500000 1654381.37500000 8387.71386719
0.02600000 1647662.62500000 6673.03369141
0.02700000 1640707.87500000 10336.45996094
0.02800000 1633524.62500000 7816.41552734
0.02900000 1626116.00000000 8049.27441406
0.03000000 1618486.37500000 7525.96191406
0.03100000 1610631.12500000 11596.54492188
0.03200000 1602563.37500000 10312.49609375
0.03300000 1594286.62500000 8130.86181641
0.03400000 1585798.37500000 10823.07421875
0.03500000 1577106.12500000 8516.37304688
0.03600000 1568216.12500000 10444.32031250
0.03700000 1559134.00000000 11553.18261719
0.03800000 1549853.75000000 16319.96093750
0.03900000 1540390.50000000 9242.34277344
0.04000000 1530742.25000000 12238.28515625
0.04100000 1520917.00000000 13414.48828125
0.04200000 1510919.50000000 9745.43164062
0.04300000 1500751.50000000 12876.44824219
0.04400000 1490418.62500000 11066.35937500
0.04500000 1479926.00000000 13274.93652344
0.04600000 1469276.50000000 11394.24023438
0.04700000 1458479.37500000 15751.57812500
0.04800000 1447536.00000000 12767.26757812
0.04900000 1436453.00000000 14005.41699219
0.05000000 1425232.12500000 11993.32812500
0.05100000 1413884.00000000 11028.29589844
0.05200000 1402405.37500000 16723.68359375
0.05300000 1390810.50000000 14645.23535156
0.05400000 1379095.50000000 12515.29199219
0.05500000 1367273.25000000 16079.13476562
0.05600000 1355340.50000000 15064.61035156
0.05700000 1343308.75000000 14024.14453125
0.05800000 1331185.75000000 14137.19335938
0.05900000 1318965.25000000 16618.96289062
0.06000000 1306662.37500000 14347.15332031
0.06100000 1294280.62500000 12036.81054688
0.06200000 1281822.75000000 19381.16015625
0.06300000 1269292.75000000 15840.77343750
0.06400000 1256697.12500000 19604.47656250
0.06500001 1244041.37500000 18474.01562500
0.06600000 1231332.50000000 17324.84765625
0.06700000 1218571.25000000 16158.25488281
0.06800000 1205764.62500000 16223.56347656
0.06900001 1192919.12500000 20041.04296875
0.07000000 1180034.50000000 17594.31445312
0.07100000 1167117.62500000 13865.35742188
0.07200000 1154179.62500000 12638.26757812
0.07300001 1141217.25000000 13934.26367188
0.07400000 1128242.00000000 16500.53906250
0.07500000 1115251.25000000 16528.02343750
0.07600001 1102256.62500000 12731.06445312
0.07700001 1089257.75000000 16567.61132812
0.07800000 1076258.87500000 12753.66796875
0.07900000 1063267.62500000 19138.81835938
0.08000001 1050290.00000000 16589.33203125
0.08100000 1037327.06250000 14035.03515625
0.08200000 1024382.25000000 14028.91503906
0.08300000 1011462.06250000 14018.86523438
0.08400001 998567.00000000 19097.59570312
0.08500000 985707.87500000 13987.19531250
0.08600000 972883.87500000 13965.74804688
0.08700000 960099.87500000 16475.31445312
0.08800001 947359.37500000 15176.69824219
0.08900000 934666.18750000 15141.59277344
0.09000000 922026.81250000 16361.36621094
0.09100001 909441.62500000 15060.35449219
0.09200001 896912.81250000 15014.32128906
0.09300000 884450.12500000 13717.82128906
0.09400000 872050.25000000 24853.43359375
0.09500001 859720.50000000 16093.96875000
0.09600000 847461.31250000 14796.67480469
0.09700000 835278.18750000 22101.46093750
0.09800000 823178.37500000 14669.03906250
0.09900001 811152.68750000 13384.02050781
0.10000000 799214.00000000 13318.90136719
0.10100000 787363.56250000 18069.99414062
0.10200001 775601.68750000 13181.35156250
0.10300001 763932.18750000 15492.54589844
0.10400000 752357.25000000 11849.62695312
0.10500000 740883.25000000 15314.05761719
0.10600001 729502.81250000 12879.37304688
0.10700001 718227.87500000 13962.35058594
0.10800000 707055.50000000 12716.39355469
0.10900000 695988.18750000 13780.56640625
0.11000001 685031.06250000 11405.76757812
0.11100001 674181.25000000 13591.49511719
0.11200000 663444.25000000 12369.91796875
0.11300001 652820.62500000 16744.84960938
0.11400001 642310.00000000 17727.75781250
