# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
# offset = 0.00000000000000, scaling c = 2.33834786186966, Chi^2 = 873.840588566262
#  q       exp_intensity   model_intensity error
0.00000000 7122736.00000000 7034541.31466821 1068.41040039
0.00100000 7122028.50000000 7033767.32152593 2563.93041992
0.00200000 7119773.00000000 7032008.29934684 4165.06738281
0.00300000 7116045.50000000 7029432.60917699 4696.58984375
0.00400000 7110838.00000000 7025735.09662041 5866.44140625
0.00500000 7104140.50000000 7020781.30667504 7033.09960938
0.00600000 7095954.00000000 7014749.53836534 10431.05273438
0.00700000 7086302.50000000 7007720.46469256 11904.98828125
0.00800000 7075183.50000000 6999200.69425784 10506.64746094
0.00900000 7062585.00000000 6989918.62242015 19068.98046875
0.01000000 7048543.00000000 6979562.66432690 13956.11621094
0.01100000 7033048.00000000 6968307.61148075 13925.43652344
0.01200000 7016147.00000000 6955700.40898348 20522.23046875
0.01300000 6997781.00000000 6942332.65884414 19103.94335938
0.01400000 6978007.00000000 6927806.25733924 17270.56835938
0.01500000 6956853.50000000 6912151.01840402 25044.67382812
0.01600000 6934279.50000000 6895259.37803684 22987.13671875
0.01700000 6910311.00000000 6877611.28213634 18657.83984375
0.01800000 6885000.00000000 6858560.76210569 27471.15234375
0.01900000 6858361.00000000 6838812.24523827 28805.11718750
0.02000000 6830339.00000000 6817969.96615846 23667.12695312
0.02100000 6801037.00000000 6796175.97949887 22443.42382812
0.02200000 6770403.50000000 6773413.91682447 32701.05078125
0.02300000 6738509.00000000 6749582.06000326 33962.08984375
0.02400000 6705336.50000000 6724958.67243080 25145.01171875
0.02500000 6670932.00000000 6699159.09588383 31219.96289062
0.02600000 6635267.50000000 6672801.23878483 59120.23437500
0.02700000 6598427.50000000 6645568.25499853 27713.39648438
0.02800000 6560403.50000000 6616943.95423442 28537.75585938
0.02900000 6521195.50000000 6587610.54948120 35214.45703125
0.03000000 6480863.50000000 6557068.80347035 45204.02343750
0.03100000 6439414.50000000 6525851.85951439 34000.10937500
0.03200000 6396857.50000000 6493876.70626422 31664.44531250
0.03300000 6353262.00000000 6461142.75913288 35641.80078125
0.03400000 6308590.00000000 6427734.19864338 33120.09765625
0.03500000 6262904.50000000 6393130.15780950 43965.58984375
0.03600000 6216216.50000000 6357934.51496657 48300.00390625
0.03700000 6168572.00000000 6321935.06504612 45709.11718750
0.03800000 6119986.50000000 6285198.45096222 46542.50000000
