# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
# offset = 0.00000000000000, scaling c = 1.04026867644002, Chi^2 = 0.874723850588671
#  q       exp_intensity   model_intensity error
0.00000000 1739091.50000000 1738819.10525550 339.12283325
0.00100000 1738945.62500000 1738608.97098286 991.19903564
0.00200000 1738531.37500000 1738324.19743269 860.57305908
0.00300000 1737837.12500000 1737590.67798221 1146.97253418
0.00400000 1736864.12500000 1736583.56786983 1823.70739746
0.00500000 1735611.62500000 1735490.11545731 2030.66577148
0.00600000 1734089.25000000 1733982.76614515 2549.11132812
0.00700000 1732285.25000000 1732259.82114979 2286.61669922
0.00800000 1730210.00000000 1730138.06315061 2569.36206055
0.00900000 1727861.87500000 1727887.05176838 3110.15161133
0.01000000 1725238.87500000 1725302.63427535 3700.63769531
0.01100000 1722344.25000000 1722644.74780704 4030.28588867
0.01200000 1719181.62500000 1719622.63726840 3687.64453125
0.01300000 1715747.25000000 1716190.27077049 5044.29687500
0.01400000 1712048.12500000 1712477.81193144 4622.53027344
0.01500000 1708084.75000000 1708624.00658598 4509.34375000
0.01600000 1703858.00000000 1704627.94449903 6951.74072266
0.01700000 1699372.62500000 1700329.16422722 4588.30615234
0.01800000 1694627.37500000 1695759.13389804 5312.65722656
0.01900000 1689622.87500000 1691017.32920365 6589.52978516
0.02000000 1684370.87500000 1685859.54707228 9019.80664062
0.02100000 1678863.00000000 1680516.98721725 6648.29785156
0.02200000 1673105.87500000 1674889.78384563 5772.21582031
0.02300000 1667105.50000000 1668928.91429605 8402.21191406
0.02400000 1660863.62500000 1662995.87193356 8096.71044922
0.02500000 1654381.37500000 1656656.34458575 8387.71386719
0.02600000 1647662.62500000 1650147.64354443 6673.03369141
0.02700000 1640707.87500000 1643549.21932977 10336.45996094
0.02800000 1633524.62500000 1636460.95860209 7816.41552734
0.02900000 1626116.00000000 1629357.09384427 8049.27441406
0.03000000 1618486.37500000 1621855.58638488 7525.96191406
0.03100000 1610631.12500000 1614244.59064729 11596.54492188
0.03200000 1602563.37500000 1606341.01934445 10312.49609375
0.03300000 1594286.62500000 1598466.18546380 8130.86181641
0.03400000 1585798.37500000 1590251.70386029 10823.07421875
0.03500000 1577106.12500000 1581761.42102394 8516.37304688
0.03600000 1568216.12500000 1573193.11803686 10444.32031250
0.03700000 1559134.00000000 1564275.41480808 11553.18261719
0.03800000 1549853.75000000 1555253.42464448 16319.96093750
0.03900000 1540390.50000000 1545948.87150165 9242.34277344
0.04000000 1530742.25000000 1536608.42908948 12238.28515625
0.04100000 1520917.00000000 1527034.31632586 13414.48828125
0.04200000 1510919.50000000 1517300.65235400 9745.43164062
0.04300000 1500751.50000000 1507356.85410949 12876.44824219
0.04400000 1490418.62500000 1497361.17246475 11066.35937500
0.04500000 1479926.00000000 1487110.49496069 13274.93652344
0.04600000 1469276.50000000 1476811.57499677 11394.24023438
0.04700000 1458479.37500000 1466279.63484932 15751.57812500
0.04800000 1447536.00000000 1455682.93797676 12767.26757812
0.04900000 1436453.00000000 1444921.48855258 14005.41699219
0.05000000 1425232.12500000 1433952.63556102 11993.32812500
0.05100000 1413884.00000000 1422867.27247771 11028.29589844
0.05200000 1402405.37500000 1411620.53771596 16723.68359375
0.05300000 1390810.50000000 1400414.89356694 14645.23535156
0.05400000 1379095.50000000 1388848.01612001 12515.29199219
0.05500000 1367273.25000000 1377168.52958887 16079.13476562
0.05600000 1355340.50000000 1365561.73183149 15064.61035156
0.05700000 1343308.75000000 1353956.75454429 14024.14453125
0.05800000 1331185.75000000 1342016.29060895 14137.19335938
0.05900000 1318965.25000000 1330182.71428010 16618.96289062
0.06000000 1306662.37500000 1318063.84426675 14347.15332031
0.06100000 1294280.62500000 1306008.69070982 12036.81054688
0.06200000 1281822.75000000 1293741.97251082 19381.16015625
0.06300000 1269292.75000000 1281536.76019732 15840.77343750
0.06400000 1256697.12500000 1269104.63927877 19604.47656250
0.06500001 1244041.37500000 1256796.96050064 18474.01562500
0.06600000 1231332.50000000 1244255.22127031 17324.84765625
0.06700000 1218571.25000000 1231639.10282962 16158.25488281
0.06800000 1205764.62500000 1219180.58509340 16223.56347656
0.06900001 1192919.12500000 1206485.66630047 20041.04296875
0.07000000 1180034.50000000 1193954.45979048 17594.31445312
0.07100000 1167117.62500000 1181196.60474262 13865.35742188
0.07200000 1154179.62500000 1168600.38144036 12638.26757812
0.07300001 1141217.25000000 1155783.10104436 13934.26367188
0.07400000 1128242.00000000 1142938.64362919 16500.53906250
0.07500000 1115251.25000000 1130250.22651548 16528.02343750
0.07600001 1102256.62500000 1117504.98472532 12731.06445312
0.07700001 1089257.75000000 1104537.77560633 16567.61132812
0.07800000 1076258.87500000 1091797.08499163 12753.66796875
0.07900000 1063267.62500000 1079102.75134982 19138.81835938
0.08000001 1050290.00000000 1066345.22138593 16589.33203125
0.08100000 1037327.06250000 1053417.47745984 14035.03515625
0.08200000 1024382.25000000 1040565.80318073 14028.91503906
0.08300000 1011462.06250000 1027774.26943447 14018.86523438
0.08400001 998567.00000000 1015076.03478512 19097.59570312
0.08500000 985707.87500000 1002266.62142099 13987.19531250
0.08600000 972883.87500000 989587.56672537 13965.74804688
0.08700000 960099.87500000 976965.27168941 16475.31445312
0.08800001 947359.37500000 964347.33277853 15176.69824219
0.08900000 934666.18750000 951708.39344374 15141.59277344
0.09000000 922026.81250000 939153.58583816 16361.36621094
0.09100001 909441.62500000 926608.79081860 15060.35449219
0.09200001 896912.81250000 914199.16571018 15014.32128906
0.09300000 884450.12500000 901779.13791499 13717.82128906
0.09400000 872050.25000000 889441.48639562 24853.43359375
0.09500001 859720.50000000 877246.22165134 16093.96875000
0.09600000 847461.31250000 864987.69556817 14796.67480469
0.09700000 835278.18750000 852783.58854013 22101.46093750
0.09800000 823178.37500000 840710.03523099 14669.03906250
0.09900001 811152.68750000 828708.52052770 13384.02050781
0.10000000 799214.00000000 816720.98443474 13318.90136719
0.10100000 787363.56250000 804878.37077177 18069.99414062
0.10200001 775601.68750000 793175.80327937 13181.35156250
0.10300001 763932.18750000 781373.69507799 15492.54589844
0.10400000 752357.25000000 769820.79624140 11849.62695312
0.10500000 740883.25000000 758249.56266940 15314.05761719
0.10600001 729502.81250000 746869.67351707 12879.37304688
0.10700001 718227.87500000 735429.05868075 13962.35058594
0.10800000 707055.50000000 724229.13600944 12716.39355469
0.10900000 695988.18750000 713116.14078941 13780.56640625
0.11000001 685031.06250000 702079.99541785 11405.76757812
0.11100001 674181.25000000 691117.57908873 13591.49511719
0.11200000 663444.25000000 680272.25800251 12369.91796875
0.11300001 652820.62500000 669488.37778499 16744.84960938
0.11400001 642310.00000000 658808.78450228 17727.75781250
0.11500000 631918.00000000 648477.55119259 13194.44824219
0.11600000 621643.12500000 637931.11230046 16364.75585938
0.11700001 611485.12500000 627678.74435981 12987.94433594
0.11800001 601447.62500000 617475.52911412 12883.00878906
0.11900000 591530.31250000 607434.20568119 11712.30078125
0.12000000 581735.18750000 597375.06764719 13726.04199219
0.12100001 572063.25000000 587578.72748757 10468.75781250
0.12200001 562518.00000000 577788.69395680 14529.84082031
0.12300000 553094.50000000 568148.32908185 11316.31347656
0.12400001 543796.93750000 558648.40047822 10196.19335938
0.12500000 534624.31250000 549316.54028264 14146.15917969
0.12600000 525579.37500000 540013.90513517 17020.88867188
0.12700000 516661.00000000 530859.50827411 11903.87011719
0.12800001 507869.12500000 521821.19889565 9827.26757812
0.12900001 499203.59375000 512975.40423913 16548.59960938
0.13000001 490667.40625000 504176.48668983 9641.61523438
0.13100001 482255.84375000 495451.65577534 13368.13281250
0.13200000 473973.43750000 487011.50088584 14183.65527344
0.13300000 465818.59375000 478556.91226845 9362.95410156
0.13400000 457790.56250000 470254.10535263 10197.28515625
0.13500001 449889.53125000 462085.78567164 11013.29589844
0.13600001 442114.53125000 454047.40205002 11811.09082031
0.13700001 434467.50000000 446109.59940604 12590.86914062
0.13800001 426945.75000000 438350.49541565 12462.54785156
0.13900001 419549.18750000 430607.61311492 10572.64062500
0.14000000 412277.12500000 423070.31391138 9591.62695312
0.14100000 405130.84375000 415583.40272185 8629.28710938
0.14200000 398107.53125000 408277.10818127 11955.16992188
0.14300001 391207.21875000 401084.62553558 12675.11425781
0.14400001 384428.03125000 393987.35998217 10869.70312500
0.14500001 377771.12500000 387000.03782450 10755.14453125
0.14600001 371233.31250000 380189.65886702 8185.69531250
0.14700000 364816.81250000 373449.43302840 12958.29296875
0.14800000 358517.34375000 366867.75063775 11218.00781250
0.14900000 352335.40625000 360306.28846950 9513.05664062
0.15000001 346269.25000000 353953.95281362 8627.29882812
0.15100001 340318.75000000 347662.14779134 8535.19433594
0.15200001 334484.43750000 341510.29141444 10746.98535156
0.15300001 328759.65625000 335457.32557859 8353.78320312
0.15400001 323146.40625000 329495.74084429 9015.78515625
0.15500000 317644.43750000 323690.16390306 11892.60742188
0.15600000 312250.59375000 317966.73567887 8824.20214844
0.15700001 306965.84375000 312388.81503580 10912.63574219
0.15800001 301784.87500000 306840.11944085 7917.32666016
0.15900001 296709.62500000 301449.90227709 8545.23730469
0.16000001 291736.40625000 296136.27489462 7749.97802734
0.16100001 286867.34375000 290980.05316627 10456.31542969
0.16200000 282096.53125000 285869.92834363 7586.98632812
0.16300000 277425.03125000 280853.78529423 6824.65576172
0.16400000 272850.87500000 275971.57683693 9454.28320312
0.16500001 268373.18750000 271171.64713025 9355.48925781
0.16600001 263989.25000000 266471.77826688 7935.51708984
0.16700001 259696.39062500 261840.50211937 7198.78417969
0.16800001 255494.54687500 257366.68038856 6476.78710938
0.16900001 251383.42187500 252948.69182812 8974.38867188
0.17000000 247359.01562500 248626.86310345 6979.23486328
0.17100000 243421.20312500 244392.07560945 8164.34716797
0.17200001 239565.28125000 240240.16827140 6838.39111328
0.17300001 235795.17187500 236200.93503436 10462.23242188
0.17400001 232106.15625000 232165.50527968 6702.06542969
0.17500001 228495.76562500 228270.47928792 7238.74658203
0.17600001 224963.12500000 224476.79822112 8361.87988281
0.17700000 221507.12500000 220771.88132998 8279.93652344
0.17800000 218125.29687500 217067.58209837 6442.33056641
0.17900001 214816.43750000 213498.82662445 5800.04394531
0.18000001 211579.56250000 210032.89520753 6318.82373047
0.18100001 208412.89062500 206581.67383985 6827.60644531
0.18200001 205313.42187500 203250.65226690 7890.19531250
0.18300001 202280.43750000 199953.27688395 6699.52880859
0.18400002 199311.71875000 196749.46066509 6083.99072266
0.18500000 196408.48437500 193623.32325880 6027.77636719
0.18600000 193565.43750000 190534.13164473 6515.41259766
0.18700001 190783.17187500 187502.41487503 6456.10253906
0.18800001 188059.76562500 184588.37849935 6397.79345703
0.18900001 185394.35937500 181698.44709941 5812.11328125
0.19000001 182782.73437500 178850.37025949 5760.39843750
0.19100001 180227.45312500 176114.00852291 5709.60595703
0.19200000 177723.15625000 173428.71747666 5145.08544922
0.19300000 175272.79687500 170760.08698343 5610.48242188
0.19400001 172870.84375000 168179.34293916 8090.35595703
0.19500001 170518.32812500 165662.47789331 5514.56298828
0.19600001 168212.75000000 163187.25610291 5467.75585938
0.19700001 165951.31250000 160742.65722167 5421.62988281
0.19800001 163735.26562500 158400.78487223 5864.99755859
0.19900002 161564.10937500 156066.11313254 5816.30859375
0.20000000 159433.79687500 153795.97055918 6249.00781250
0.20100001 157343.78125000 151544.76412657 4767.51660156
0.20200001 155293.73437500 149385.62147183 7093.04150391
0.20300001 153281.98437500 147241.28639152 6566.60058594
0.20400001 151306.98437500 145153.58093729 6979.03515625
0.20500001 149368.57812500 143110.31446059 6000.13623047
0.20600002 147464.62500000 141085.25268572 5952.41015625
0.20700002 145594.42187500 139127.93840840 4542.54638672
0.20800000 143756.85937500 137216.83481620 5408.13330078
0.20900001 141951.35937500 135297.01084673 4918.61474609
0.21000001 140175.85937500 133443.91036033 6211.19238281
0.21100001 138430.37500000 131629.50299244 5722.71191406
0.21200001 136712.78125000 129839.13558350 5678.36572266
0.21300001 135023.48437500 128098.66043553 4767.67968750
0.21400002 133361.78125000 126386.32943151 4731.00976562
0.21500000 131725.28125000 124721.72075303 4267.89941406
0.21600001 130114.14843750 123049.70828733 5082.25878906
0.21700001 128527.37500000 121431.35092945 7985.40625000
0.21800001 126964.33593750 119861.08974366 6673.24560547
0.21900001 125422.96093750 118272.29064497 5380.64550781
0.22000001 123904.39843750 116762.69825348 6161.14648438
0.22100002 122407.55468750 115251.45606088 4483.78906250
0.22200002 120930.17968750 113768.49617292 5663.16064453
0.22300000 119473.21093750 112300.97777313 4014.30004883
0.22400001 118035.48437500 110874.78567193 5975.54638672
0.22500001 116616.83593750 109463.39301807 5534.63525391
0.22600001 115216.74218750 108085.15892827 5492.38232422
0.22700001 113833.97656250 106722.47197893 4282.43457031
0.22800002 112468.29687500 105377.00635244 5408.60058594
0.22900002 111118.36718750 104072.88327874 4983.65917969
0.23000000 109785.67968750 102762.29103420 4184.48144531
0.23100001 108468.85156250 101484.77608274 4907.13085938
0.23200001 107165.71093750 100226.57924569 5243.61865234
0.23300001 105877.77343750 98990.00861916  4087.94091797
0.23400001 104604.84375000 97778.38818668  4424.78515625
